Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.99,49%,9,3,3,3,1,5,6,3,0,4,20,0,10,1,1,27,20,83% (325/393),76% (112/148),17% (4/23),48% (10/21),14,8,Wolves,1,0,Win,2025
1.55,65%,18,6,7,5,2,10,11,6,1,2,18,3,10,2,0,12,35,88% (428/484),78% (166/212),29% (10/35),58% (7/12),8,11,Aston Villa,2,2,Draw,2025
1.42,53%,14,4,4,6,4,10,11,3,0,1,9,3,16,3,0,12,47,84% (356/425),76% (143/187),25% (6/24),57% (12/21),13,10,Tottenham,2,1,Win,2025
0.84,55%,9,3,4,2,5,5,6,3,1,3,17,3,14,3,0,10,24,88% (452/514),78% (104/134),20% (3/15),50% (7/14),9,5,Brighton,1,1,Draw,2025
1.95,50%,14,5,4,5,2,3,11,3,0,1,6,6,8,2,0,8,47,83% (389/467),80% (167/208),30% (6/20),50% (8/16),21,6,Brentford,3,1,Win,2025
1.94,68%,13,5,3,5,3,5,9,4,0,0,12,1,7,1,0,16,40,90% (606/670),83% (196/237),28% (5/18),55% (12/22),14,6,Ipswich,1,0,Win,2025
2.88,59%,14,6,3,5,5,3,13,1,2,5,9,0,8,2,0,21,33,87% (476/545),68% (86/126),53% (9/17),69% (9/13),15,10,Crystal Palace,5,1,Win,2025
1.42,76%,13,5,3,5,1,8,11,2,0,0,9,5,6,0,0,23,48,92% (628/682),85% (214/253),25% (7/28),56% (10/18),7,1,Everton,0,0,Draw,2025
1.93,67%,12,4,8,0,4,6,10,2,0,1,10,3,9,2,0,23,34,89% (525/590),77% (154/201),25% (8/32),71% (5/7),10,6,Fulham,1,1,Draw,2025
2.33,50%,14,6,3,5,5,13,13,1,0,2,8,2,12,1,0,16,35,87% (404/464),72% (79/110),32% (7/22),67% (8/12),7,4,Manchester Utd,2,0,Win,2025
3.00,61%,16,7,5,4,5,10,13,3,0,3,10,1,13,1,0,23,32,83% (393/472),75% (119/159),32% (6/19),35% (6/17),13,5,West Ham,5,2,Win,2025
1.40,66%,19,7,7,5,1,8,14,5,0,0,11,4,10,3,0,15,47,91% (538/591),81% (139/171),18% (3/17),88% (14/16),14,4,Nottingham,3,0,Win,2025
0.99,51%,13,3,4,6,0,3,0,0,0,2,12,7,12,2,0,18,0,88% (375/426),0,0,0,0,7,Chelsea,1,1,Draw,2025
1.11,64%,10,1,6,3,0,6,0,0,0,3,16,0,18,4,0,17,0,86% (430/502),0,0,0,0,5,Newcastle,0,1,Defeat,2025
1.03,45%,9,3,4,2,0,1,0,0,0,2,14,2,14,2,0,15,0,80% (308/385),0,0,0,0,10,Liverpool,2,2,Draw,2025
