Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.79,45%,14,4,6,4,0,4,9,5,0,3,16,2,13,2,0,17,26,82% (304/372),74% (75/101),24% (4/17),56% (15/27),22,9,West Ham,1,1,Draw,2025
1.06,35%,8,4,3,1,2,1,5,3,1,4,10,2,18,3,0,10,13,73% (193/264),51% (24/47),20% (1/5),44% (7/16),41,3,Arsenal,2,2,Draw,2025
1.36,50%,11,3,4,4,3,5,6,5,0,3,17,1,10,1,0,16,20,83% (354/427),60% (61/102),0% (0/11),73% (16/22),35,9,Everton,1,0,Win,2025
1.40,61%,13,5,3,5,3,6,8,5,1,1,11,1,10,0,0,18,25,89% (545/609),77% (114/148),18% (3/17),58% (11/19),15,8,Leicester,2,1,Win,2025
1.74,60%,20,4,7,9,1,12,12,8,0,3,14,2,9,2,0,12,47,85% (404/477),76% (106/139),16% (3/19),52% (12/23),20,4,Brighton,2,2,Draw,2025
0.34,37%,4,1,2,1,0,6,2,2,0,5,15,3,10,1,1,11,9,78% (247/316),65% (44/68),5% (1/21),40% (6/15),18,5,Newcastle,0,3,Defeat,2025
1.41,45%,11,6,3,2,4,5,10,1,2,5,7,3,14,3,0,13,17,86% (372/431),62% (40/65),33% (2/6),59% (13/22),17,3,Manchester City,2,1,Win,2025
0.44,50%,8,2,4,2,0,3,7,1,0,4,12,2,5,1,0,11,31,88% (409/463),72% (92/128),31% (5/16),45% (5/11),21,6,Nottingham,1,2,Defeat,2025
2.35,47%,18,5,5,8,3,14,13,5,0,0,15,0,18,1,0,10,41,86% (351/409),75% (82/109),24% (6/25),62% (16/26),9,6,Southampton,1,0,Win,2025
2.25,49%,20,10,6,4,4,10,16,4,0,0,15,0,11,2,0,13,41,86% (332/386),80% (74/93),25% (6/24),87% (13/15),22,7,Brentford,3,1,Win,2025
1.15,36%,10,4,3,3,1,4,8,2,0,5,21,1,6,2,0,8,19,84% (292/347),57% (29/51),43% (3/7),47% (7/15),12,9,Chelsea,0,3,Defeat,2025
