Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.78,50%,17,11,3,3,4,3,11,5,0,4,12,2,9,2,0,10,33,81% (283/351),83% (107/129),12% (2/17),64% (14/22),38,9,Nottingham,5,0,Win,2025
2.41,45%,19,10,6,3,4,6,16,3,1,4,7,0,18,6,0,15,36,76% (240/316),68% (91/133),29% (7/24),71% (15/21),35,14,Newcastle,4,1,Win,2025
1.23,43%,7,3,3,1,1,3,6,1,1,8,15,1,16,3,0,19,21,79% (249/315),63% (52/82),9% (1/11),56% (9/16),27,8,Chelsea,2,2,Draw,2025
1.69,59%,19,8,7,4,5,9,12,7,0,0,14,1,15,2,0,23,34,77% (321/415),70% (96/137),19% (6/32),80% (12/15),33,10,Everton,1,0,Win,2025
1.86,48%,16,9,6,1,3,7,12,4,0,4,7,0,16,3,0,29,31,79% (347/437),66% (93/140),24% (6/25),73% (8/11),24,7,Fulham,2,2,Draw,2025
1.19,52%,18,4,10,4,0,5,15,3,0,4,12,1,13,2,0,22,34,81% (371/457),73% (113/155),15% (4/26),73% (16/22),22,8,Crystal Palace,0,0,Draw,2025
1.24,40%,10,5,3,2,2,1,6,4,0,7,11,2,11,3,0,17,15,76% (253/334),63% (62/98),22% (2/9),67% (16/24),31,11,Manchester Utd,3,0,Win,2025
1.90,51%,29,9,6,14,2,12,16,13,1,2,11,1,6,0,0,20,40,77% (333/433),68% (93/136),27% (8/30),57% (8/14),25,10,West Ham,1,1,Draw,2025
2.99,57%,22,6,9,7,6,13,14,8,1,4,9,0,13,1,0,18,39,80% (346/430),75% (138/184),13% (3/23),70% (16/23),25,11,Ipswich,2,1,Win,2025
3.31,34%,21,8,8,5,5,5,17,4,1,4,8,3,15,2,0,22,28,70% (172/245),67% (66/98),38% (5/13),44% (12/27),28,17,Tottenham,1,0,Win,2025
3.19,40%,12,8,2,2,4,4,10,2,0,1,13,1,11,1,0,13,21,77% (256/334),61% (60/98),13% (2/15),54% (14/26),19,7,Wolves,4,2,Win,2025
1.42,55%,20,6,11,3,4,7,14,5,1,2,10,5,12,2,0,15,38,87% (408/471),77% (131/170),17% (6/36),55% (11/20),7,10,Brighton,1,2,Defeat,2025
2.60,48%,15,3,3,9,0,4,0,0,0,3,8,1,16,4,0,21,0,75% (290/386),0,0,0,0,6,Brentford,2,3,Defeat,2025
1.77,35%,12,6,4,2,0,3,0,0,0,3,6,2,10,2,0,10,0,83% (277/334),0,0,0,0,11,Manchester City,2,1,Win,2025
0.31,43%,11,3,4,4,0,7,0,0,0,7,12,5,14,6,0,7,0,83% (264/320),0,0,0,0,11,Aston Villa,1,1,Draw,2025
1.66,48%,13,4,4,5,0,7,0,0,0,1,11,1,12,1,0,18,0,78% (316/405),0,0,0,0,3,Arsenal,2,0,Win,2025
1.17,56%,17,2,11,4,0,9,0,0,0,1,13,3,14,1,0,20,0,0% (0/443),0,0,0,0,0,Leicester,0,1,Defeat,2025
1.86,40%,14,6,2,6,0,6,0,0,0,2,12,1,19,2,0,23,0,0% (0/371),0,0,0,0,0,Southampton,3,1,Win,2025
1.04,41%,19,6,9,4,0,9,0,0,0,10,10,3,12,4,0,21,0,0% (0/389),0,0,0,0,0,Liverpool,0,3,Defeat,2025
2.16,33%,19,7,9,3,0,6,0,0,0,2,8,4,16,6,0,19,0,0% (0/276),0,0,0,0,0,Chelsea,0,1,Defeat,2025
2.44,53%,17,7,7,3,0,4,0,0,0,6,7,2,11,1,0,21,0,0% (0/392),0,0,0,0,0,Everton,3,2,Win,2025
2.01,39%,16,4,8,4,0,8,0,0,0,4,7,0,19,2,0,20,0,0% (0/321),0,0,0,0,0,Newcastle,1,1,Draw,2025
1.53,47%,15,5,8,2,0,6,0,0,0,7,19,4,9,3,0,19,0,0% (0/432),0,0,0,0,0,Nottingham,1,1,Draw,2025
2.34,37%,22,5,17,0,0,5,0,0,0,4,6,1,9,3,0,19,0,0% (0/319),0,0,0,0,0,Chelsea,1,2,Defeat,2024
0.59,48%,13,4,9,0,0,3,0,0,0,3,12,1,16,2,0,21,0,0% (0/367),0,0,0,0,0,Brentford,1,2,Defeat,2024
0.40,44%,7,2,5,0,0,1,0,0,0,6,20,0,12,3,0,14,0,0% (0/368),0,0,0,0,0,Arsenal,0,3,Defeat,2024
2.33,30%,15,6,9,0,0,8,0,0,0,1,10,1,14,2,0,16,0,0% (0/250),0,0,0,0,0,Brighton,3,0,Win,2024
1.99,37%,21,6,15,0,0,12,0,0,0,4,12,1,17,1,1,15,0,0% (0/304),0,0,0,0,0,Wolves,1,0,Win,2024
1.55,44%,14,6,8,0,0,4,0,0,0,2,11,3,14,3,0,9,0,0% (0/368),0,0,0,0,0,Aston Villa,1,3,Defeat,2024
1.68,43%,20,5,15,0,0,7,0,0,0,0,16,1,13,4,0,21,0,0% (0/382),0,0,0,0,0,Manchester Utd,2,2,Draw,2024
0.30,44%,8,1,7,0,0,2,0,0,0,7,7,0,14,0,0,22,0,0% (0/327),0,0,0,0,0,Luton,1,2,Defeat,2024
1.22,50%,11,6,5,0,0,9,0,0,0,2,18,0,13,3,0,24,0,0% (0/442),0,0,0,0,0,Crystal Palace,1,0,Win,2024
1.63,49%,11,4,7,0,0,9,0,0,0,2,15,0,14,1,0,19,0,0% (0/360),0,0,0,0,0,Everton,2,1,Win,2024
2.58,59%,24,10,14,0,0,11,0,0,0,1,12,1,16,1,0,25,0,0% (0/438),0,0,0,0,0,Luton,4,3,Win,2024
2.70,70%,32,12,20,0,0,10,0,0,0,7,11,1,12,3,0,13,0,0% (0/614),0,0,0,0,0,Sheffield Utd,2,2,Draw,2024
1.19,25%,10,3,7,0,0,2,0,0,0,6,10,4,13,4,0,18,0,0% (0/206),0,0,0,0,0,Burnley,2,0,Win,2024
0.79,38%,13,4,9,0,0,3,0,0,0,5,6,3,14,2,0,16,0,0% (0/351),0,0,0,0,0,Manchester City,0,1,Defeat,2024
2.16,37%,12,7,5,0,0,2,0,0,0,3,9,3,23,3,0,13,0,0% (0/275),0,0,0,0,0,Newcastle,2,2,Draw,2024
2.30,50%,25,4,21,0,0,13,0,0,0,3,12,3,11,2,0,22,0,0% (0/448),0,0,0,0,0,Fulham,1,3,Defeat,2024
1.05,44%,9,2,7,0,0,11,0,0,0,5,12,1,19,3,1,28,0,0% (0/330),0,0,0,0,0,Nottingham,1,1,Draw,2024
