Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.68,53%,13,6,6,1,2,7,7,6,1,4,8,0,11,2,0,22,33,72% (253/351),61% (72/118),39% (7/18),56% (9/16),44,1,Crystal Palace,2,1,Win,2025
0.72,39%,11,6,4,1,1,2,9,2,0,6,14,6,6,2,0,11,24,80% (252/316),58% (37/64),11% (1/9),50% (6/12),36,9,Liverpool,0,2,Defeat,2025
2.47,44%,18,6,9,3,3,4,16,2,0,6,4,4,4,0,0,14,41,81% (328/404),71% (95/134),21% (4/19),60% (6/10),21,10,Manchester City,2,2,Draw,2025
4.23,50%,20,11,7,2,11,2,17,3,1,1,10,2,4,0,0,10,33,86% (395/459),79% (138/174),20% (2/10),53% (10/19),15,6,Southampton,5,0,Win,2025
0.29,50%,5,2,2,1,0,4,4,1,0,2,8,0,6,1,0,10,10,83% (397/479),68% (83/122),13% (2/15),70% (7/10),29,7,Arsenal,1,3,Defeat,2025
0.96,42%,8,3,2,3,1,3,7,1,0,7,6,5,12,2,0,17,17,73% (260/357),66% (61/92),22% (2/9),67% (12/18),32,10,Brighton,0,0,Draw,2025
0.80,64%,7,3,2,2,1,9,7,0,0,4,14,1,9,3,0,14,35,85% (448/527),71% (138/194),13% (5/38),71% (12/17),18,13,Nottingham,0,2,Defeat,2025
1.61,38%,9,4,3,2,4,5,7,2,1,6,11,3,7,2,0,11,17,76% (241/318),57% (47/82),21% (4/19),71% (12/17),37,6,Chelsea,1,2,Defeat,2025
1.07,44%,11,8,2,1,3,3,8,3,0,1,7,3,10,3,0,12,25,80% (311/389),67% (85/127),7% (1/14),63% (15/24),29,3,Newcastle,4,2,Win,2025
0.96,51%,9,1,4,4,1,5,7,2,0,7,11,1,15,2,0,15,21,86% (344/400),75% (107/142),14% (3/22),53% (8/15),20,8,Aston Villa,1,3,Defeat,2025
2.34,60%,13,6,3,4,4,5,10,3,0,2,10,1,9,1,0,27,30,85% (489/574),79% (164/208),10% (2/20),40% (8/20),26,10,Leicester,4,1,Win,2025
1.08,41%,9,2,4,3,2,4,5,4,0,5,8,3,10,0,1,12,15,79% (269/342),52% (40/77),20% (2/10),67% (12/18),31,3,Everton,0,0,Draw,2025
1.54,52%,12,6,2,4,0,6,0,0,0,2,16,0,8,2,0,19,0,76% (313/413),0,0,0,0,5,Bournemouth,3,2,Win,2025
0.59,32%,5,2,1,2,0,3,0,0,0,10,3,0,10,1,0,8,0,70% (223/317),0,0,0,0,12,Fulham,1,2,Defeat,2025
3.94,65%,20,9,5,6,0,4,0,0,0,2,10,2,7,0,0,25,0,84% (465/552),0,0,0,0,3,Ipswich,4,3,Win,2025
0.98,50%,8,2,4,2,0,2,0,0,0,9,4,3,5,2,0,16,0,84% (407/484),0,0,0,0,12,Manchester Utd,1,2,Defeat,2025
3.73,44%,19,12,4,3,0,10,0,0,0,3,9,5,9,2,0,11,0,0% (0/365),0,0,0,0,0,Wolves,5,3,Win,2025
0.58,57%,8,3,4,1,0,7,0,0,0,2,12,1,2,2,0,20,0,0% (0/528),0,0,0,0,0,West Ham,1,1,Draw,2025
1.62,52%,6,6,0,0,0,4,0,0,0,7,14,2,9,1,0,16,0,0% (0/489),0,0,0,0,0,Tottenham,1,3,Defeat,2025
0.88,46%,8,5,2,1,0,3,0,0,0,5,9,1,3,1,0,10,0,0% (0/468),0,0,0,0,0,Manchester City,1,2,Defeat,2025
2.59,37%,20,7,8,5,0,2,0,0,0,5,7,1,10,2,0,23,0,0% (0/358),0,0,0,0,0,Southampton,3,1,Win,2025
0.55,38%,8,2,3,3,0,4,0,0,0,6,10,2,7,3,0,22,0,0% (0/358),0,0,0,0,0,Liverpool,0,2,Defeat,2025
1.52,46%,9,5,3,1,0,4,0,0,0,5,17,1,6,1,0,16,0,0% (0/389),0,0,0,0,0,Crystal Palace,2,1,Win,2025
1.07,54%,10,5,5,0,0,3,0,0,0,3,12,2,15,4,0,18,0,0% (0/443),0,0,0,0,0,Newcastle,2,4,Defeat,2024
1.60,52%,11,5,6,0,0,8,0,0,0,3,17,0,12,2,0,15,0,0% (0/388),0,0,0,0,0,Bournemouth,2,1,Win,2024
1.11,55%,7,3,4,0,0,7,0,0,0,3,5,1,3,1,0,17,0,0% (0/502),0,0,0,0,0,Fulham,0,0,Draw,2024
0.93,52%,10,4,6,0,0,6,0,0,0,0,14,2,12,2,0,22,0,0% (0/458),0,0,0,0,0,Everton,0,1,Defeat,2024
3.68,48%,21,9,12,0,0,9,0,0,0,2,13,0,9,2,0,17,0,0% (0/345),0,0,0,0,0,Luton,5,1,Win,2024
1.10,53%,9,5,4,0,0,3,0,0,0,2,13,3,8,3,0,21,0,0% (0/391),0,0,0,0,0,Sheffield Utd,2,0,Win,2024
1.21,30%,8,3,5,0,0,3,0,0,0,0,15,4,11,2,0,13,0,0% (0/247),0,0,0,0,0,Aston Villa,3,3,Draw,2024
0.56,33%,5,2,3,0,0,1,0,0,0,6,12,3,9,1,0,11,0,0% (0/326),0,0,0,0,0,Brighton,0,0,Draw,2024
2.67,47%,31,5,26,0,0,14,0,0,0,4,15,1,7,3,0,14,0,0% (0/377),0,0,0,0,0,Manchester Utd,1,1,Draw,2024
1.09,40%,9,5,4,0,0,4,0,0,0,4,19,3,17,4,1,12,0,0% (0/292),0,0,0,0,0,Burnley,1,2,Defeat,2024
0.94,28%,9,4,5,0,0,4,0,0,0,4,10,2,10,4,0,11,0,0% (0/226),0,0,0,0,0,Arsenal,1,2,Defeat,2024
2.07,32%,14,5,9,0,0,0,0,0,0,4,13,1,10,3,0,21,0,0% (0/297),0,0,0,0,0,Chelsea,2,2,Draw,2024
