Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.61,43%,10,4,3,3,2,3,7,3,0,3,6,2,8,2,0,28,24,83% (346/418),64% (54/84),0% (0/9),58% (7/12),11,4,Manchester City,1,3,Defeat,2025
3.15,63%,19,7,6,6,4,3,15,4,0,3,14,5,8,4,0,19,54,89% (498/560),75% (110/146),23% (5/22),89% (8/9),19,6,Wolves,3,1,Win,2025
2.45,57%,26,10,7,9,3,9,17,9,1,1,16,2,15,2,0,22,37,83% (349/420),73% (84/115),35% (6/17),64% (7/11),8,4,Bournemouth,2,2,Draw,2025
1.30,62%,15,1,10,4,1,6,12,3,0,5,9,0,12,2,0,18,36,86% (486/565),73% (121/165),23% (3/13),42% (5/12),13,7,Crystal Palace,1,1,Draw,2025
2.00,76%,20,5,7,8,4,7,13,7,2,4,9,2,5,4,0,21,36,90% (655/729),84% (185/219),11% (2/19),45% (5/11),14,5,Ipswich,0,2,Defeat,2025
0.82,47%,12,8,1,3,3,3,7,5,1,5,13,3,13,1,0,12,20,83% (420/506),64% (84/132),13% (2/15),62% (8/13),16,4,Fulham,1,2,Defeat,2025
0.77,75%,12,5,3,4,3,5,6,6,1,4,20,1,12,1,0,20,24,90% (558/620),77% (120/155),18% (3/17),65% (15/23),13,2,Everton,0,0,Draw,2025
2.13,62%,26,8,10,8,3,8,20,6,0,3,7,2,11,2,1,20,51,85% (428/503),85% (164/193),29% (10/34),53% (8/15),19,8,Brentford,2,1,Win,2025
2.81,62%,17,8,4,5,2,10,12,5,0,2,17,2,11,3,0,18,46,86% (443/513),78% (120/153),25% (4/16),72% (13/18),7,12,Tottenham,4,3,Win,2025
5.29,55%,26,13,7,6,10,7,22,4,3,3,7,1,14,0,0,8,48,92% (489/530),87% (149/172),25% (3/12),67% (10/15),9,9,Southampton,5,1,Win,2025
1.61,64%,17,8,6,3,2,3,12,5,0,4,6,3,21,2,0,9,26,90% (558/619),77% (108/140),17% (2/12),59% (10/17),5,3,Aston Villa,3,0,Win,2025
2.64,64%,16,7,6,3,4,9,11,5,0,1,15,1,12,3,0,17,38,87% (521/600),76% (120/157),25% (4/16),61% (11/18),10,9,Leicester,2,1,Win,2025
1.28,49%,17,3,6,8,0,4,0,0,0,2,12,1,12,4,0,9,0,85% (358/419),0,0,0,0,7,Arsenal,1,1,Draw,2025
1.53,54%,12,3,4,5,0,8,0,0,0,3,19,0,14,2,0,13,0,82% (391/475),0,0,0,0,7,Manchester Utd,1,1,Draw,2025
1.68,51%,17,7,6,4,0,7,0,0,0,2,16,2,13,6,0,12,0,85% (388/458),0,0,0,0,18,Newcastle,2,1,Win,2025
0.93,57%,12,2,6,4,0,5,0,0,0,3,12,0,13,3,0,14,0,87% (472/542),0,0,0,0,8,Liverpool,1,2,Defeat,2025
2.25,66%,22,8,9,5,0,11,0,0,0,8,12,1,12,6,0,14,0,0% (0/591),0,0,0,0,0,Nottingham,1,1,Draw,2025
3.31,41%,15,7,4,4,0,8,0,0,0,3,8,6,11,3,0,14,0,0% (0/376),0,0,0,0,0,Brighton,4,2,Win,2025
2.48,48%,12,5,4,3,0,5,0,0,0,7,19,0,10,2,0,9,0,0% (0/454),0,0,0,0,0,West Ham,3,0,Win,2025
0.87,67%,10,3,5,2,0,3,0,0,0,7,17,3,9,8,0,27,0,0% (0/579),0,0,0,0,0,Bournemouth,1,0,Win,2025
2.34,63%,13,7,4,2,0,4,0,0,0,2,15,0,9,4,0,15,0,0% (0/590),0,0,0,0,0,Crystal Palace,1,1,Draw,2025
2.65,62%,14,8,3,3,0,5,0,0,0,2,14,1,13,3,0,15,0,0% (0/495),0,0,0,0,0,Wolves,6,2,Win,2025
0.62,48%,10,3,2,5,0,4,0,0,0,3,10,2,12,1,0,17,0,0% (0/526),0,0,0,0,0,Manchester City,0,2,Defeat,2025
0.90,63%,16,6,10,0,0,6,0,0,0,4,9,0,5,2,0,17,0,0% (0/529),0,0,0,0,0,Bournemouth,2,1,Win,2024
1.27,49%,13,6,7,0,0,6,0,0,0,1,13,1,14,2,1,7,0,0% (0/471),0,0,0,0,0,Brighton,2,1,Win,2024
1.81,68%,12,5,7,0,0,6,0,0,0,2,17,1,8,3,0,15,0,0% (0/623),0,0,0,0,0,Nottingham,3,2,Win,2024
4.31,69%,25,14,11,0,0,8,0,0,0,2,10,1,12,1,0,8,0,0% (0/741),0,0,0,0,0,West Ham,5,0,Win,2024
1.71,38%,16,5,11,0,0,4,0,0,0,3,19,1,12,0,0,14,0,0% (0/357),0,0,0,0,0,Tottenham,2,0,Win,2024
1.47,72%,21,5,16,0,0,4,0,0,0,2,15,4,14,5,0,12,0,0% (0/664),0,0,0,0,0,Aston Villa,2,2,Draw,2024
1.66,56%,7,1,6,0,0,2,0,0,0,5,15,0,11,2,0,6,0,0% (0/630),0,0,0,0,0,Arsenal,0,5,Defeat,2024
2.92,59%,14,10,4,0,0,4,0,0,0,2,19,0,5,1,0,13,0,0% (0/584),0,0,0,0,0,Everton,6,0,Win,2024
0.41,68%,6,3,3,0,0,6,0,0,0,4,11,0,10,2,0,17,0,0% (0/697),0,0,0,0,0,Sheffield Utd,2,2,Draw,2024
2.82,57%,28,10,18,0,0,12,0,0,0,2,13,3,7,3,0,15,0,0% (0/549),0,0,0,0,0,Manchester Utd,4,3,Win,2024
3.33,69%,33,13,20,0,0,12,0,0,0,5,6,3,12,2,0,13,0,0% (0/630),0,0,0,0,0,Burnley,2,2,Draw,2024
1.67,45%,12,8,4,0,0,0,0,0,0,1,9,2,12,3,0,17,0,0% (0/426),0,0,0,0,0,Newcastle,3,2,Win,2024
1.66,68%,17,6,11,0,0,6,0,0,0,3,10,4,9,1,0,21,0,0% (0/642),0,0,0,0,0,Brentford,2,2,Draw,2024
1.42,30%,9,6,3,0,0,1,0,0,0,4,7,5,12,3,0,11,0,0% (0/307),0,0,0,0,0,Manchester City,1,1,Draw,2024
1.24,77%,14,5,9,0,0,7,0,0,0,3,16,4,7,2,0,25,0,0% (0/835),0,0,0,0,0,Crystal Palace,3,1,Win,2024
