Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.09,47%,16,5,7,4,1,4,8,8,1,4,11,1,8,2,0,14,22,71% (222/313),56% (58/103),18% (3/17),87% (13/15),35,1,Brentford,1,2,Defeat,2025
1.31,47%,12,7,4,1,2,4,6,6,0,0,13,0,10,0,0,20,17,81% (379/466),66% (73/110),6% (1/17),53% (10/19),17,16,West Ham,2,0,Win,2025
1.81,43%,9,4,3,2,4,3,8,1,0,4,7,3,6,0,0,8,20,78% (353/451),62% (64/104),25% (3/12),67% (12/18),24,10,Leicester,2,0,Win,2025
1.01,38%,13,6,2,5,2,6,10,3,0,0,12,2,9,0,0,15,20,76% (254/335),54% (40/74),26% (5/19),62% (16/26),21,7,Chelsea,1,1,Draw,2025
1.82,47%,19,10,3,6,4,8,12,7,0,2,19,2,18,2,0,15,25,77% (292/378),66% (86/130),13% (3/23),74% (14/19),32,10,Southampton,2,1,Win,2025
0.53,48%,10,4,2,4,0,2,6,4,0,4,13,1,12,2,0,19,17,78% (334/430),67% (78/116),45% (5/11),56% (15/27),24,9,Bournemouth,0,0,Draw,2025
1.72,41%,15,6,6,3,3,3,10,5,0,1,8,1,9,2,0,14,18,81% (317/391),67% (57/85),43% (6/14),42% (11/26),25,3,Arsenal,1,5,Defeat,2025
2.40,36%,13,5,5,3,5,5,11,2,0,4,11,1,15,4,0,17,22,74% (225/306),60% (37/62),33% (4/12),64% (16/25),29,8,Brighton,3,1,Win,2025
1.30,31%,12,3,1,8,1,6,6,6,0,2,10,3,4,1,0,13,15,77% (248/324),59% (54/91),23% (3/13),53% (9/17),24,5,Manchester City,2,2,Draw,2025
1.53,46%,13,3,4,6,3,7,9,4,0,2,14,1,13,4,0,13,23,80% (350/436),60% (71/119),17% (3/18),60% (9/15),22,4,Ipswich,1,0,Win,2025
1.29,49%,16,4,7,5,5,8,12,4,0,0,11,2,12,3,0,22,27,79% (316/398),69% (68/98),32% (7/22),68% (17/25),24,13,Newcastle,1,1,Draw,2025
1.27,30%,13,6,6,1,3,1,10,3,1,3,10,2,11,2,0,15,17,69% (173/251),57% (47/82),13% (2/15),73% (16/22),25,9,Aston Villa,2,2,Draw,2025
1.75,35%,13,5,6,2,0,1,0,0,0,5,11,1,10,1,1,15,0,77% (274/355),0,0,0,0,21,Fulham,0,2,Defeat,2025
2.89,43%,19,7,7,5,0,6,0,0,0,4,7,1,9,2,0,19,0,74% (263/357),0,0,0,0,8,Wolves,2,2,Draw,2025
0.83,34%,14,6,7,1,0,8,0,0,0,3,12,4,16,4,0,13,0,65% (159/246),0,0,0,0,10,Tottenham,1,0,Win,2025
1.12,50%,20,7,7,6,0,6,0,0,0,5,9,2,12,3,0,15,0,80% (353/442),0,0,0,0,5,Nottingham,0,1,Defeat,2025
0.79,32%,9,5,4,0,0,3,0,0,0,3,15,1,7,4,0,12,0,0% (0/300),0,0,0,0,0,Liverpool,0,1,Defeat,2025
0.89,59%,17,5,7,5,0,8,0,0,0,0,15,0,11,0,0,24,0,0% (0/535),0,0,0,0,0,Everton,1,2,Defeat,2025
1.03,33%,9,4,4,1,0,4,0,0,0,6,13,1,7,3,0,9,0,0% (0/313),0,0,0,0,0,Manchester Utd,0,0,Draw,2025
2.17,67%,20,4,6,10,0,5,0,0,0,2,15,3,11,0,0,17,0,0% (0/595),0,0,0,0,0,Leicester,2,2,Draw,2025
0.52,37%,9,3,1,5,0,4,0,0,0,6,10,1,13,2,0,19,0,0% (0/350),0,0,0,0,0,Chelsea,1,1,Draw,2025
1.37,59%,14,2,8,4,0,3,0,0,0,1,19,3,9,1,0,18,0,0% (0/552),0,0,0,0,0,West Ham,0,2,Defeat,2025
1.06,54%,14,6,4,4,0,7,0,0,0,3,6,3,15,5,0,20,0,0% (0/465),0,0,0,0,0,Brentford,1,2,Defeat,2025
2.31,53%,15,9,6,0,0,2,0,0,0,2,4,3,10,1,0,8,0,0% (0/545),0,0,0,0,0,Aston Villa,5,0,Win,2024
3.00,38%,13,3,10,0,0,3,0,0,0,7,14,5,12,4,1,16,0,0% (0/345),0,0,0,0,0,Wolves,3,1,Win,2024
1.40,43%,18,10,8,0,0,6,0,0,0,2,10,2,12,1,0,21,0,0% (0/430),0,0,0,0,0,Manchester Utd,4,0,Win,2024
0.97,47%,14,4,10,0,0,9,0,0,0,1,12,1,15,2,0,20,0,0% (0/446),0,0,0,0,0,Fulham,1,1,Draw,2024
0.96,47%,20,7,13,0,0,7,0,0,0,2,16,5,10,3,0,24,0,0% (0/432),0,0,0,0,0,Newcastle,2,0,Win,2024
2.66,61%,18,7,11,0,0,4,0,0,0,0,14,0,9,3,0,22,0,0% (0/650),0,0,0,0,0,West Ham,5,2,Win,2024
1.94,30%,8,5,3,0,0,1,0,0,0,6,12,5,10,1,0,21,0,0% (0/324),0,0,0,0,0,Liverpool,1,0,Win,2024
1.40,24%,7,4,3,0,0,2,0,0,0,4,4,2,13,1,0,6,0,0% (0/274),0,0,0,0,0,Manchester City,2,4,Defeat,2024
0.10,50%,3,2,1,0,0,2,0,0,0,5,13,4,14,2,0,27,0,0% (0/457),0,0,0,0,0,Bournemouth,0,1,Defeat,2024
1.05,41%,10,3,7,0,0,6,0,0,0,4,18,0,12,1,0,14,0,0% (0/397),0,0,0,0,0,Nottingham,1,1,Draw,2024
2.69,50%,21,4,17,0,0,8,0,0,0,1,12,0,20,2,0,17,0,0% (0/427),0,0,0,0,0,Luton,1,1,Draw,2024
0.41,22%,4,1,3,0,0,1,0,0,0,3,9,5,16,2,0,10,0,0% (0/226),0,0,0,0,0,Tottenham,1,3,Defeat,2024
2.67,56%,15,6,9,0,0,12,0,0,0,0,16,6,8,3,0,18,0,0% (0/477),0,0,0,0,0,Burnley,3,0,Win,2024
0.62,37%,10,4,6,0,0,6,0,0,0,3,9,2,12,2,0,37,0,0% (0/315),0,0,0,0,0,Everton,1,1,Draw,2024
0.50,23%,13,4,9,0,0,1,0,0,0,2,11,2,14,2,0,11,0,0% (0/244),0,0,0,0,0,Chelsea,1,3,Defeat,2024
0.32,31%,7,5,2,0,0,2,0,0,0,2,10,2,14,3,0,17,0,0% (0/389),0,0,0,0,0,Brighton,1,4,Defeat,2024
1.29,53%,12,4,8,0,0,11,0,0,0,3,19,2,8,1,0,24,0,0% (0/472),0,0,0,0,0,Sheffield Utd,3,2,Win,2024
0.38,39%,12,5,7,0,0,7,0,0,0,2,13,2,12,0,0,12,0,0% (0/362),0,0,0,0,0,Arsenal,0,5,Defeat,2024
1.00,48%,13,6,7,0,0,7,0,0,0,3,10,1,14,0,0,20,0,0% (0/443),0,0,0,0,0,Brentford,3,1,Win,2024
0.99,36%,13,5,8,0,0,3,0,0,0,2,16,6,16,2,0,17,0,0% (0/352),0,0,0,0,0,Chelsea,1,2,Defeat,2024
1.20,34%,11,3,8,0,0,3,0,0,0,5,13,1,12,5,0,18,0,0% (0/389),0,0,0,0,0,Brighton,1,1,Draw,2024
1.98,26%,5,2,3,0,0,1,0,0,0,7,14,1,9,1,0,14,0,0% (0/285),0,0,0,0,0,Manchester City,2,2,Draw,2024
