Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.43,29%,3,3,0,0,2,4,2,1,0,2,10,1,11,2,0,11,7,78% (237/305),57% (30/53),33% (3/9),55% (12/22),34,13,Liverpool,1,4,Defeat,2025
0.65,32%,8,4,1,3,1,4,5,3,0,3,7,1,4,0,0,8,14,87% (303/348),80% (66/83),25% (3/12),69% (9/13),21,8,Manchester City,0,6,Defeat,2025
0.29,47%,5,3,2,0,0,1,3,2,0,3,14,1,13,2,0,13,8,82% (341/415),64% (42/66),29% (2/7),57% (8/14),25,9,Brighton,0,2,Defeat,2025
1.47,27%,7,3,3,1,1,2,5,2,2,2,10,1,14,5,0,11,14,75% (191/253),59% (42/71),29% (2/7),55% (6/11),47,15,Fulham,2,2,Draw,2025
1.58,24%,9,6,1,2,2,4,8,1,0,5,5,0,9,4,0,10,15,63% (144/227),42% (21/50),29% (2/7),41% (7/17),26,6,Chelsea,2,0,Win,2025
0.16,32%,3,0,0,3,0,1,0,3,0,4,7,2,12,1,0,10,5,81% (258/318),79% (54/68),13% (1/8),56% (10/18),29,14,Arsenal,0,1,Defeat,2025
0.70,41%,10,2,4,4,1,2,8,2,0,3,7,3,9,2,0,10,20,82% (332/403),67% (70/104),25% (3/12),60% (6/10),14,3,Newcastle,0,4,Defeat,2025
1.26,46%,10,5,2,3,2,3,7,3,0,5,13,4,9,3,0,11,31,82% (337/410),63% (65/104),19% (3/16),33% (4/12),31,11,Wolves,2,1,Win,2025
1.33,43%,18,5,6,7,1,6,11,7,0,4,13,0,9,2,0,23,29,73% (239/328),61% (59/96),33% (4/12),73% (11/15),30,4,Bournemouth,1,2,Defeat,2025
0.49,54%,9,2,4,3,1,4,5,4,1,2,13,1,14,2,0,13,12,83% (438/525),71% (83/117),24% (5/21),61% (11/18),26,9,Crystal Palace,0,1,Defeat,2025
0.63,55%,7,3,2,2,0,7,5,2,0,4,5,1,16,3,0,26,19,79% (300/379),73% (69/95),18% (3/17),63% (10/16),19,4,Nottingham,0,1,Defeat,2025
1.75,40%,11,6,3,2,3,4,5,6,0,3,10,0,12,0,0,17,11,83% (348/421),72% (94/131),25% (4/16),44% (7/16),13,4,Manchester Utd,1,1,Draw,2025
1.74,34%,8,3,2,3,0,2,0,0,0,4,10,0,19,5,0,13,0,68% (188/278),0,0,0,0,8,Tottenham,2,1,Win,2025
0.99,43%,14,2,6,6,0,4,0,0,0,5,10,0,11,6,1,24,0,76% (244/320),0,0,0,0,9,Leicester,1,1,Draw,2025
1.36,35%,11,5,6,0,0,5,0,0,0,5,7,1,10,3,1,11,0,72% (208/288),0,0,0,0,10,Brentford,3,4,Defeat,2025
1.27,55%,13,2,8,3,0,5,0,0,0,6,10,1,12,1,0,18,0,86% (416/484),0,0,0,0,9,Everton,0,2,Defeat,2025
0.64,47%,9,2,4,3,0,5,0,0,0,9,15,1,6,1,0,28,0,0% (0/430),0,0,0,0,0,West Ham,1,4,Defeat,2025
1.73,44%,15,5,5,5,0,10,0,0,0,1,16,2,10,4,0,12,0,0% (0/408),0,0,0,0,0,Aston Villa,2,2,Draw,2025
0.75,46%,13,6,3,4,0,10,0,0,0,2,17,1,16,4,0,16,0,0% (0/409),0,0,0,0,0,Southampton,1,1,Draw,2025
0.56,30%,6,1,4,1,0,2,0,0,0,6,15,3,16,3,0,16,0,0% (0/261),0,0,0,0,0,Brighton,0,0,Draw,2025
1.28,48%,11,4,4,3,0,8,0,0,0,3,16,4,15,2,0,7,0,0% (0/401),0,0,0,0,0,Fulham,1,1,Draw,2025
0.37,24%,2,2,0,0,0,1,0,0,0,1,4,1,15,3,0,11,0,0% (0/245),0,0,0,0,0,Manchester City,1,4,Defeat,2025
0.28,38%,7,2,3,2,0,2,0,0,0,3,19,5,9,3,0,14,0,0% (0/347),0,0,0,0,0,Liverpool,0,2,Defeat,2025
