Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
2.00,37%,15,6,9,0,0,4,0,0,0,4,20,8,15,5,0,12,0,0% (0/291),0,0,0,0,0,Fulham,2,4,Defeat,2024
0.47,42%,4,1,3,0,0,6,0,0,0,5,11,0,15,3,0,15,0,0% (0/320),0,0,0,0,0,West Ham,1,3,Defeat,2024
0.87,50%,18,5,13,0,0,7,0,0,0,2,12,0,14,1,0,24,0,0% (0/411),0,0,0,0,0,Everton,1,1,Draw,2024
0.45,42%,9,6,3,0,0,4,0,0,0,3,16,0,14,1,0,23,0,0% (0/433),0,0,0,0,0,Wolves,1,2,Defeat,2024
0.25,52%,6,3,3,0,0,4,0,0,0,4,6,0,13,1,0,14,0,0% (0/391),0,0,0,0,0,Brentford,1,5,Defeat,2024
0.70,26%,4,2,2,0,0,1,0,0,0,8,7,1,6,0,0,12,0,0% (0/276),0,0,0,0,0,Manchester City,1,5,Defeat,2024
1.33,56%,19,9,10,0,0,7,0,0,0,0,15,0,7,0,0,23,0,0% (0/401),0,0,0,0,0,Bournemouth,2,1,Win,2024
0.19,42%,5,1,4,0,0,1,0,0,0,2,13,1,8,1,0,18,0,0% (0/430),0,0,0,0,0,Arsenal,0,2,Defeat,2024
0.43,30%,7,3,4,0,0,6,0,0,0,2,16,1,14,4,0,13,0,0% (0/255),0,0,0,0,0,Tottenham,1,2,Defeat,2024
0.47,60%,10,4,6,0,0,6,0,0,0,5,19,1,10,1,0,17,0,0% (0/440),0,0,0,0,0,Nottingham,1,1,Draw,2024
2.09,41%,8,4,4,0,0,3,0,0,0,6,17,1,11,2,0,21,0,0% (0/310),0,0,0,0,0,Bournemouth,3,4,Defeat,2024
0.57,50%,8,2,6,0,0,6,0,0,0,3,20,1,11,3,0,22,0,0% (0/404),0,0,0,0,0,Crystal Palace,1,1,Draw,2024
2.29,47%,13,5,8,0,0,8,0,0,0,5,20,3,8,1,0,12,0,0% (0/365),0,0,0,0,0,Aston Villa,2,3,Defeat,2024
1.03,39%,12,3,9,0,0,4,0,0,0,9,17,3,14,4,0,16,0,0% (0/329),0,0,0,0,0,Liverpool,1,4,Defeat,2024
1.75,58%,22,4,18,0,0,8,0,0,0,7,22,4,7,3,0,12,0,0% (0/528),0,0,0,0,0,Manchester Utd,1,2,Defeat,2024
1.67,75%,20,5,15,0,0,13,0,0,0,0,12,2,7,1,0,24,0,0% (0/563),0,0,0,0,0,Sheffield Utd,1,3,Defeat,2024
1.99,46%,11,8,3,0,0,2,0,0,0,2,13,0,16,2,0,12,0,0% (0/379),0,0,0,0,0,Newcastle,4,4,Draw,2024
2.59,41%,18,8,10,0,0,7,0,0,0,2,15,4,13,2,0,26,0,0% (0/357),0,0,0,0,0,Brighton,4,0,Win,2024
0.72,61%,14,5,9,0,0,8,0,0,0,6,8,4,12,0,0,17,0,0% (0/542),0,0,0,0,0,Burnley,1,1,Draw,2024
2.81,51%,15,6,9,0,0,7,0,0,0,5,22,5,14,2,0,25,0,0% (0/406),0,0,0,0,0,Chelsea,2,3,Defeat,2024
0.58,49%,12,4,8,0,0,4,0,0,0,4,14,0,13,0,0,22,0,0% (0/346),0,0,0,0,0,Sheffield Utd,3,2,Win,2024
1.80,35%,16,5,11,0,0,5,0,0,0,2,9,0,11,2,0,14,0,0% (0/300),0,0,0,0,0,Newcastle,1,0,Win,2024
0.36,34%,4,2,2,0,0,6,0,0,0,4,7,1,16,2,0,20,0,0% (0/302),0,0,0,0,0,Manchester City,1,2,Defeat,2024
0.47,33%,6,4,2,0,0,3,0,0,0,5,11,1,14,2,0,13,0,0% (0/296),0,0,0,0,0,Arsenal,3,4,Defeat,2024
0.18,31%,7,1,6,0,0,5,0,0,0,3,10,2,8,2,0,10,0,0% (0/277),0,0,0,0,0,Brentford,1,3,Defeat,2024
0.92,39%,8,3,5,0,0,4,0,0,0,7,13,1,15,6,0,18,0,0% (0/335),0,0,0,0,0,Crystal Palace,2,1,Win,2024
0.41,36%,10,4,6,0,0,3,0,0,0,3,10,1,11,2,0,17,0,0% (0/321),0,0,0,0,0,Manchester Utd,0,1,Defeat,2024
0.74,26%,8,5,3,0,0,4,0,0,0,5,15,1,7,1,0,16,0,0% (0/229),0,0,0,0,0,Liverpool,1,1,Draw,2024
0.11,29%,7,1,6,0,0,4,0,0,0,3,11,6,10,2,0,7,0,0% (0/243),0,0,0,0,0,Aston Villa,1,3,Defeat,2024
1.79,43%,13,4,9,0,0,2,0,0,0,6,14,0,11,0,0,22,0,0% (0/361),0,0,0,0,0,Nottingham,2,2,Draw,2024
