Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
2.70,57%,15,6,6,3,6,2,9,6,1,3,8,5,6,3,0,20,25,86% (480/558),69% (70/102),40% (2/5),69% (9/13),15,5,Chelsea,3,1,Win,2025
2.84,68%,17,9,3,5,5,7,14,3,0,4,4,1,7,0,0,11,40,92% (682/742),84% (192/228),0% (0/8),57% (8/14),12,7,Ipswich,6,0,Win,2025
2.10,56%,21,8,11,2,5,5,15,6,1,4,4,0,4,0,0,15,45,87% (442/508),88% (217/248),35% (7/20),42% (5/12),30,8,Brentford,2,2,Draw,2025
2.03,56%,10,7,0,3,3,7,7,3,0,3,13,1,8,2,0,13,28,90% (497/555),82% (109/133),8% (1/12),64% (7/11),18,6,West Ham,4,1,Win,2025
1.40,47%,14,5,6,3,2,4,8,6,0,4,11,2,6,1,0,19,25,91% (449/495),84% (114/135),45% (5/11),60% (6/10),16,4,Leicester,2,0,Win,2025
2.02,66%,24,5,9,10,4,8,16,8,1,2,10,2,5,1,0,15,49,90% (578/645),83% (194/234),48% (10/21),53% (8/15),11,2,Everton,1,1,Draw,2025
1.03,55%,12,6,5,1,2,4,7,5,0,4,14,0,7,3,0,10,22,92% (484/525),85% (147/173),14% (2/14),67% (4/6),15,5,Aston Villa,1,2,Defeat,2025
0.91,51%,10,3,4,3,0,8,5,5,0,1,14,0,5,1,0,19,18,87% (426/491),79% (126/159),10% (2/20),71% (10/14),10,10,Manchester Utd,1,2,Defeat,2025
1.41,69%,12,4,4,4,3,8,9,3,1,1,4,2,10,2,1,17,32,88% (627/709),81% (187/230),29% (5/17),38% (5/13),16,5,Crystal Palace,2,2,Draw,2025
2.41,66%,17,7,7,3,6,8,12,5,0,3,15,1,7,2,0,16,42,89% (487/548),82% (152/185),40% (6/15),73% (11/15),15,4,Nottingham,3,0,Win,2025
0.84,56%,8,2,3,3,1,4,7,1,0,5,9,3,8,3,0,13,30,88% (481/544),78% (124/159),0% (0/9),82% (14/17),21,5,Liverpool,0,2,Defeat,2025
2.15,58%,23,5,11,7,3,9,17,6,1,3,9,2,19,4,0,16,42,93% (520/559),89% (188/212),20% (7/35),54% (7/13),13,9,Tottenham,0,4,Defeat,2025
2.16,61%,15,6,6,3,0,4,0,0,0,2,12,1,10,3,0,18,0,90% (586/653),0,0,0,0,4,Brighton,1,2,Defeat,2025
1.80,65%,18,4,10,4,0,10,0,0,0,4,10,0,6,1,0,17,0,90% (539/600),0,0,0,0,5,Bournemouth,1,2,Defeat,2025
2.73,58%,22,8,7,7,0,12,0,0,0,2,9,1,9,1,0,12,0,93% (568/613),0,0,0,0,9,Southampton,1,0,Win,2025
1.71,78%,22,7,7,8,0,18,0,0,0,1,8,1,5,1,0,20,0,89% (651/731),0,0,0,0,3,Wolves,2,1,Win,2025
1.59,58%,20,7,5,8,0,8,0,0,0,2,11,0,4,2,0,11,0,0% (0/634),0,0,0,0,0,Fulham,3,2,Win,2025
1.12,62%,16,6,4,6,0,6,0,0,0,3,18,0,10,4,0,16,0,0% (0/558),0,0,0,0,0,Newcastle,1,1,Draw,2025
2.62,78%,33,11,10,12,0,8,0,0,0,1,9,0,7,3,0,24,0,0% (0/705),0,0,0,0,0,Arsenal,2,2,Draw,2025
2.08,54%,18,7,6,5,0,12,0,0,0,4,3,1,9,3,0,21,0,0% (0/544),0,0,0,0,0,Brentford,2,1,Win,2025
1.84,68%,23,8,11,4,0,11,0,0,0,1,10,1,3,2,0,11,0,0% (0/726),0,0,0,0,0,West Ham,3,1,Win,2025
2.66,76%,14,5,4,5,0,10,0,0,0,1,16,3,4,2,0,23,0,0% (0/755),0,0,0,0,0,Ipswich,4,1,Win,2025
0.82,52%,11,5,4,2,0,3,0,0,0,3,14,1,9,1,0,18,0,0% (0/577),0,0,0,0,0,Chelsea,2,0,Win,2025
2.20,70%,28,12,16,0,0,11,0,0,0,1,11,3,3,0,0,13,0,0% (0/771),0,0,0,0,0,West Ham,3,1,Win,2024
2.15,47%,8,5,3,0,0,4,0,0,0,5,17,2,11,3,0,11,0,0% (0/533),0,0,0,0,0,Tottenham,2,0,Win,2024
2.87,65%,16,9,7,0,0,7,0,0,0,1,9,0,6,0,0,10,0,0% (0/769),0,0,0,0,0,Fulham,4,0,Win,2024
3.03,58%,20,12,8,0,0,6,0,0,0,0,17,2,4,0,0,15,0,0% (0/616),0,0,0,0,0,Wolves,5,1,Win,2024
0.70,67%,11,5,6,0,0,5,0,0,0,2,10,1,6,0,0,17,0,0% (0/733),0,0,0,0,0,Nottingham,2,0,Win,2024
1.36,65%,14,6,8,0,0,4,0,0,0,3,14,1,3,0,0,14,0,0% (0/786),0,0,0,0,0,Brighton,4,0,Win,2024
3.34,74%,37,13,24,0,0,12,0,0,0,1,6,0,7,1,0,10,0,0% (0/763),0,0,0,0,0,Luton,5,1,Win,2024
2.08,76%,18,8,10,0,0,9,0,0,0,2,15,1,3,1,0,20,0,0% (0/845),0,0,0,0,0,Crystal Palace,4,2,Win,2024
2.66,67%,25,11,14,0,0,2,0,0,0,2,14,1,6,1,0,11,0,0% (0/699),0,0,0,0,0,Aston Villa,4,1,Win,2024
1.01,72%,12,1,11,0,0,7,0,0,0,2,21,2,9,0,0,14,0,0% (0/700),0,0,0,0,0,Arsenal,0,0,Draw,2024
1.50,47%,10,6,4,0,0,4,0,0,0,5,12,1,10,3,0,16,0,0% (0/510),0,0,0,0,0,Liverpool,1,1,Draw,2024
3.15,73%,27,8,19,0,0,15,0,0,0,0,11,0,5,0,0,19,0,0% (0/801),0,0,0,0,0,Manchester Utd,3,1,Win,2024
1.53,62%,15,6,9,0,0,8,0,0,0,4,16,0,6,2,0,19,0,0% (0/582),0,0,0,0,0,Bournemouth,1,0,Win,2024
2.46,70%,25,11,14,0,0,10,0,0,0,2,9,1,12,2,0,14,0,0% (0/712),0,0,0,0,0,Brentford,1,0,Win,2024
2.81,70%,31,5,26,0,0,12,0,0,0,5,17,0,7,1,0,19,0,0% (0/711),0,0,0,0,0,Chelsea,1,1,Draw,2024
1.38,72%,19,3,16,0,0,9,0,0,0,1,13,1,6,0,0,22,0,0% (0/772),0,0,0,0,0,Everton,2,0,Win,2024
2.35,72%,25,15,10,0,0,13,0,0,0,2,4,0,4,0,0,20,0,0% (0/750),0,0,0,0,0,Brentford,3,1,Win,2024
1.76,74%,14,4,10,0,0,7,0,0,0,2,16,3,3,2,0,17,0,0% (0/797),0,0,0,0,0,Burnley,3,1,Win,2024
3.27,73%,27,11,16,0,0,13,0,0,0,3,15,1,7,2,0,15,0,0% (0/747),0,0,0,0,0,Newcastle,3,2,Win,2024
2.26,82%,18,4,14,0,0,12,0,0,0,2,9,1,5,1,0,9,0,0% (0/1000),0,0,0,0,0,Sheffield Utd,2,0,Win,2024
2.80,72%,23,9,14,0,0,8,0,0,0,1,14,1,5,2,0,17,0,0% (0/772),0,0,0,0,0,Everton,3,1,Win,2024
1.57,74%,19,9,10,0,0,6,0,0,0,0,11,2,12,1,0,17,0,0% (0/818),0,0,0,0,0,Crystal Palace,2,2,Draw,2024
