Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.25,49%,4,1,2,1,0,0,1,3,0,3,7,2,9,1,0,19,8,84% (403/478),70% (73/104),14% (1/7),50% (9/18),21,8,Fulham,1,0,Win,2025
1.41,51%,10,1,3,6,1,4,9,1,0,0,12,3,13,3,0,19,28,82% (371/452),72% (81/113),30% (3/10),61% (11/18),12,10,Brighton,1,3,Defeat,2025
3.20,59%,23,9,2,12,5,4,17,6,0,4,10,2,7,1,0,19,48,84% (484/573),78% (100/128),23% (3/13),67% (12/18),22,12,Southampton,3,1,Win,2025
0.99,48%,13,4,1,8,3,9,11,2,0,4,10,4,13,0,0,16,31,75% (286/380),65% (64/98),24% (5/21),40% (8/20),26,13,Liverpool,2,2,Draw,2025
0.88,53%,10,1,5,4,2,2,7,3,1,2,8,1,13,1,0,14,17,87% (498/575),73% (104/142),18% (2/11),58% (15/26),10,9,Newcastle,0,2,Defeat,2025
0.35,49%,11,4,3,4,0,4,5,6,0,2,12,1,12,4,1,19,19,80% (365/455),73% (104/143),35% (7/20),72% (18/25),22,12,Wolves,0,2,Defeat,2025
2.26,60%,23,7,10,6,4,13,13,10,0,2,11,0,11,1,0,19,45,81% (397/492),77% (136/176),38% (8/21),65% (13/20),10,4,Bournemouth,0,3,Defeat,2025
1.99,49%,10,3,4,3,3,2,7,3,0,2,5,6,14,1,0,11,22,89% (414/467),84% (82/98),40% (4/10),46% (11/24),18,17,Manchester City,2,1,Win,2025
1.55,71%,17,7,5,5,3,5,10,7,1,0,13,0,10,0,0,17,31,88% (522/592),80% (143/179),13% (3/23),77% (10/13),5,9,Nottingham,2,3,Defeat,2025
0.31,50%,5,2,3,0,0,0,3,2,0,4,12,2,8,3,0,11,6,86% (408/472),74% (63/85),17% (1/6),53% (10/19),24,12,Arsenal,0,2,Defeat,2025
0.73,60%,11,5,2,4,3,2,9,2,0,2,12,3,12,2,0,10,21,90% (555/619),80% (64/80),17% (1/6),69% (11/16),13,8,Everton,4,0,Win,2025
0.90,60%,11,4,5,2,2,3,8,3,0,5,12,1,10,0,0,21,16,87% (563/644),71% (73/103),14% (1/7),57% (8/14),16,10,Ipswich,1,1,Draw,2025
0.75,51%,13,3,4,6,0,1,0,0,0,5,5,1,9,0,0,20,0,85% (418/491),0,0,0,0,8,Leicester,3,0,Win,2025
1.96,46%,11,4,4,3,0,4,0,0,0,2,14,4,19,6,0,12,0,79% (321/405),0,0,0,0,12,Chelsea,1,1,Draw,2025
2.12,57%,18,5,7,6,0,5,0,0,0,1,6,3,7,1,0,24,0,84% (437/523),0,0,0,0,5,West Ham,1,2,Defeat,2025
1.48,50%,23,11,6,6,0,9,0,0,0,1,5,1,4,2,0,18,0,84% (410/488),0,0,0,0,8,Brentford,2,1,Win,2025
0.60,46%,10,4,4,2,0,3,0,0,0,1,13,1,11,5,0,14,0,0% (0/369),0,0,0,0,0,Aston Villa,0,0,Draw,2025
1.05,39%,11,2,6,3,0,5,0,0,0,8,15,2,16,5,1,9,0,0% (0/395),0,0,0,0,0,Tottenham,0,3,Defeat,2025
1.86,67%,15,6,6,3,0,11,0,0,0,4,8,0,12,2,0,35,0,0% (0/639),0,0,0,0,0,Crystal Palace,0,0,Draw,2025
2.61,56%,18,10,3,5,0,7,0,0,0,4,12,0,14,4,0,19,0,0% (0/611),0,0,0,0,0,Southampton,3,0,Win,2025
1.29,53%,8,3,5,0,0,5,0,0,0,0,8,0,7,4,0,29,0,0% (0/507),0,0,0,0,0,Liverpool,0,3,Defeat,2025
1.65,52%,11,4,5,2,0,4,0,0,0,3,10,6,13,2,0,15,0,0% (0/511),0,0,0,0,0,Brighton,1,2,Defeat,2025
1.50,55%,14,5,8,1,0,7,0,0,0,2,10,3,12,2,0,16,0,0% (0/482),0,0,0,0,0,Fulham,1,0,Win,2025
1.37,44%,11,4,7,0,0,5,0,0,0,3,8,1,9,3,0,9,0,0% (0/460),0,0,0,0,0,Brighton,2,0,Win,2024
