Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,26%,9,3,3,3,0,3,0,0,0,7,14,0,8,1,0,0,0,0% (0/261),0,0,0,0,0,Liverpool,0,3,Defeat,2017
0,42%,13,3,4,6,0,6,0,0,0,2,11,2,19,3,0,0,0,0% (0/365),0,0,0,0,0,Southampton,1,2,Defeat,2017
0,43%,2,1,0,1,0,1,0,0,0,4,6,2,21,2,0,0,0,0% (0/466),0,0,0,0,0,Chelsea,0,3,Defeat,2017
0,32%,14,6,6,2,0,4,0,0,0,2,10,1,9,4,0,0,0,0% (0/257),0,0,0,0,0,Manchester City,2,2,Draw,2017
0,49%,6,2,3,1,0,3,0,0,0,4,17,1,15,3,0,0,0,0% (0/396),0,0,0,0,0,Sunderland,1,0,Win,2017
0,32%,5,2,3,0,0,3,0,0,0,6,6,2,14,4,1,0,0,0% (0/284),0,0,0,0,0,Bournemouth,0,4,Defeat,2017
0,35%,13,5,6,2,0,2,0,0,0,2,16,3,11,2,0,0,0,0% (0/308),0,0,0,0,0,Arsenal,1,2,Defeat,2017
0,56%,12,5,4,3,0,4,0,0,0,2,14,2,9,0,0,0,0,0% (0/453),0,0,0,0,0,Burnley,0,0,Draw,2017
0,53%,12,4,4,4,0,4,0,0,0,1,14,1,12,1,0,0,0,0% (0/431),0,0,0,0,0,Hull,2,4,Defeat,2017
0,45%,8,1,4,3,0,3,0,0,0,3,11,0,16,3,0,0,0,0% (0/360),0,0,0,0,0,Swansea,0,0,Draw,2017
0,64%,10,3,4,3,0,8,0,0,0,3,9,0,9,1,0,0,0,0% (0/555),0,0,0,0,0,Manchester Utd,1,3,Defeat,2017
0,45%,8,2,3,3,0,1,0,0,0,6,16,4,20,2,0,0,0,0% (0/369),0,0,0,0,0,Stoke,0,2,Defeat,2017
0,54%,11,4,6,1,0,2,0,0,0,2,15,0,15,1,0,0,0,0,0,0,0,0,0,Crystal Palace,0,1,Defeat,2017
0,46%,9,3,4,2,0,5,0,0,0,3,11,0,14,2,0,0,0,0% (0/463),0,0,0,0,0,Everton,0,0,Draw,2017
0,35%,8,0,5,3,0,2,0,0,0,4,13,1,11,1,0,0,0,0% (0/314),0,0,0,0,0,Tottenham,0,1,Defeat,2017
0,62%,11,3,3,5,0,4,0,0,0,4,14,0,12,2,0,0,0,0% (0/482),0,0,0,0,0,West Brom,1,1,Draw,2017
0,61%,11,2,5,4,0,7,0,0,0,2,14,2,7,2,0,0,0,0% (0/517),0,0,0,0,0,West Ham,1,3,Defeat,2017
0,53%,5,1,4,0,0,1,0,0,0,5,17,3,15,1,0,0,0,0% (0/414),0,0,0,0,0,Watford,0,0,Draw,2017
0,62%,9,1,5,3,0,2,0,0,0,4,9,0,10,3,0,0,0,0% (0/530),0,0,0,0,0,Leicester,0,0,Draw,2017
0,34%,9,2,4,3,0,2,0,0,0,10,13,0,14,1,0,0,0,0% (0/332),0,0,0,0,0,Manchester Utd,1,2,Defeat,2017
0,56%,8,2,4,2,0,3,0,0,0,3,20,4,18,5,0,0,0,0% (0/404),0,0,0,0,0,Burnley,0,1,Defeat,2017
0,43%,10,4,5,1,0,3,0,0,0,2,13,0,10,1,0,0,0,0% (0/409),0,0,0,0,0,Swansea,3,0,Win,2017
0,36%,8,3,1,4,0,5,0,0,0,1,18,1,11,1,0,0,0,0% (0/385),0,0,0,0,0,Liverpool,0,3,Defeat,2017
0,45%,6,2,1,3,0,2,0,0,0,2,17,2,12,3,0,0,0,0% (0/418),0,0,0,0,0,Southampton,0,1,Defeat,2017
0,61%,16,4,5,7,0,13,0,0,0,2,12,3,6,1,0,0,0,0,0,0,0,0,0,Hull,1,0,Win,2017
0,59%,6,2,2,2,0,3,0,0,0,1,17,1,12,4,0,0,0,0,0,0,0,0,0,Leicester,2,2,Draw,2017
0,42%,12,1,7,4,0,2,0,0,0,2,11,0,13,2,0,0,0,0,0,0,0,0,0,Chelsea,0,1,Defeat,2017
0,29%,5,3,1,1,0,2,0,0,0,6,11,2,15,3,0,0,0,0,0,0,0,0,0,Manchester City,1,1,Draw,2017
0,40%,11,3,6,2,0,4,0,0,0,3,6,0,7,2,0,0,0,0,0,0,0,0,0,Bournemouth,2,0,Win,2017
0,25%,11,4,3,4,0,3,0,0,0,5,11,2,13,0,0,0,0,0,0,0,0,0,0,Arsenal,0,0,Draw,2017
