Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.89,50%,18,4,9,5,1,9,11,7,1,6,9,2,12,3,0,20,34,75% (251/334),64% (83/130),26% (6/23),58% (7/12),25,5,Bournemouth,0,5,Defeat,2025
1.90,45%,14,5,7,2,4,2,9,5,0,2,18,3,4,0,0,16,28,82% (317/385),78% (116/148),32% (6/19),63% (12/19),20,9,Southampton,3,2,Win,2025
0.39,29%,6,3,1,2,1,0,2,4,0,6,10,2,7,2,0,21,17,68% (159/233),60% (52/86),0% (0/9),65% (13/20),59,9,Liverpool,1,1,Draw,2025
2.20,40%,11,3,6,2,4,3,8,3,0,6,10,4,8,2,0,15,23,80% (288/361),65% (73/112),20% (2/10),72% (13/18),37,10,Wolves,3,0,Win,2025
1.42,37%,11,7,4,0,5,4,7,4,0,2,13,2,10,1,0,12,13,68% (195/287),60% (46/77),13% (1/8),72% (13/18),41,10,Everton,2,0,Win,2025
1.21,29%,10,3,5,2,1,2,7,3,0,4,13,4,12,0,0,12,17,72% (182/254),66% (65/99),29% (2/7),59% (13/22),29,9,Tottenham,1,0,Win,2025
0.84,36%,10,6,3,1,1,5,7,3,0,3,9,3,14,4,0,16,17,78% (236/304),78% (87/112),7% (1/14),50% (10/20),49,17,Brentford,2,0,Win,2025
1.65,50%,17,6,6,5,3,4,12,5,0,1,5,2,12,0,0,5,27,91% (425/465),90% (148/164),24% (5/21),74% (14/19),24,8,Aston Villa,2,1,Win,2025
0.69,29%,11,3,4,4,0,3,7,4,1,5,10,1,13,2,0,11,15,65% (153/236),62% (60/97),57% (4/7),56% (9/16),30,8,Manchester Utd,3,2,Win,2025
0.88,34%,12,3,7,2,1,2,8,4,0,4,7,2,15,4,0,14,15,79% (219/277),73% (74/102),23% (3/13),63% (15/24),15,11,Manchester City,0,3,Defeat,2025
1.63,45%,12,5,5,2,2,8,8,4,1,3,16,3,5,1,0,19,25,76% (234/307),66% (85/128),35% (7/20),60% (12/20),22,7,Ipswich,1,0,Win,2025
0.40,34%,7,0,5,2,0,1,5,2,0,4,10,2,11,2,0,11,13,81% (239/295),65% (49/75),41% (7/17),63% (10/16),24,11,Arsenal,0,3,Defeat,2025
0.58,43%,9,3,3,3,0,4,0,0,0,3,6,3,13,1,0,17,0,78% (299/383),0,0,0,0,7,Newcastle,1,3,Defeat,2025
2.00,53%,19,6,10,3,0,10,0,0,0,2,9,1,7,1,0,20,0,85% (377/446),0,0,0,0,5,West Ham,3,0,Win,2025
1.77,36%,20,5,9,6,0,7,0,0,0,0,16,1,9,3,0,10,0,77% (230/299),0,0,0,0,10,Leicester,3,1,Win,2025
1.62,50%,20,6,5,9,0,6,0,0,0,7,12,2,9,2,0,21,0,82% (364/442),0,0,0,0,14,Crystal Palace,1,0,Win,2025
