Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,54%,18,2,9,7,0,6,0,0,0,2,10,1,6,0,0,21,0,0,0,0,0,0,0,Leicester,1,5,Defeat,2015
0,47%,8,4,3,1,0,3,0,0,0,7,9,1,12,2,0,29,0,0,0,0,0,0,0,Newcastle,2,1,Win,2015
0,40%,9,3,5,1,0,4,0,0,0,5,13,5,7,1,0,27,0,0,0,0,0,0,0,Manchester City,0,6,Defeat,2015
0,43%,10,2,7,1,0,6,0,0,0,6,12,3,18,5,1,22,0,0,0,0,0,0,0,Liverpool,1,2,Defeat,2015
0,54%,18,7,6,5,0,6,0,0,0,2,16,3,14,1,0,26,0,0,0,0,0,0,0,West Ham,0,0,Draw,2015
0,40%,15,4,5,6,0,5,0,0,0,0,9,4,12,2,0,30,0,0,0,0,0,0,0,Chelsea,0,1,Defeat,2015
0,36%,11,5,3,3,0,3,0,0,0,4,12,2,12,4,0,28,0,0,0,0,0,0,0,Aston Villa,3,3,Draw,2015
0,42%,12,7,2,3,0,4,0,0,0,5,9,3,15,3,0,15,0,0,0,0,0,0,0,West Brom,4,1,Win,2015
0,53%,14,1,8,5,0,1,0,0,0,1,16,4,11,2,0,32,0,0,0,0,0,0,0,Everton,1,2,Defeat,2015
0,57%,11,4,5,2,0,3,0,0,0,1,23,0,16,3,0,33,0,0,0,0,0,0,0,Crystal Palace,1,3,Defeat,2015
0,37%,17,6,5,6,0,3,0,0,0,4,15,3,15,1,0,35,0,0,0,0,0,0,0,Tottenham,1,2,Defeat,2015
0,43%,10,3,4,3,0,1,0,0,0,7,10,5,10,2,0,28,0,0,0,0,0,0,0,Arsenal,1,2,Defeat,2015
0,46%,8,3,3,2,0,7,0,0,0,4,26,3,16,4,1,23,0,0,0,0,0,0,0,Hull,1,2,Defeat,2015
0,48%,19,4,8,7,0,4,0,0,0,5,9,2,12,3,0,21,0,0,0,0,0,0,0,Sunderland,2,0,Win,2015
0,45%,12,3,6,3,0,3,0,0,0,4,19,2,13,2,0,22,0,0,0,0,0,0,0,Southampton,0,1,Defeat,2015
0,48%,11,4,6,1,0,5,0,0,0,0,13,2,12,2,0,12,0,0,0,0,0,0,0,Stoke,1,3,Defeat,2015
0,38%,17,4,10,3,0,3,0,0,0,5,12,1,12,3,0,23,0,0,0,0,0,0,0,Manchester Utd,0,2,Defeat,2015
0,55%,17,7,5,5,0,6,0,0,0,5,14,2,9,2,0,38,0,0,0,0,0,0,0,Burnley,1,2,Defeat,2015
0,43%,24,6,8,10,0,4,0,0,0,5,8,3,22,4,0,22,0,0,0,0,0,0,0,Swansea,1,1,Draw,2015
0,54%,11,3,2,6,0,9,0,0,0,3,17,1,11,2,0,27,0,0,0,0,0,0,0,Crystal Palace,0,0,Draw,2015
0,44%,16,2,6,8,0,2,0,0,0,3,8,0,15,4,0,17,0,0,0,0,0,0,0,Arsenal,1,2,Defeat,2015
0,42%,17,7,2,8,0,5,0,0,0,4,7,4,16,1,0,21,0,0,0,0,0,0,0,West Brom,3,2,Win,2015
0,50%,17,4,9,4,0,8,0,0,0,2,15,4,12,1,0,28,0,0,0,0,0,0,0,Everton,1,3,Defeat,2015
0,51%,10,5,1,4,0,3,0,0,0,3,14,2,12,3,1,22,0,0,0,0,0,0,0,Burnley,2,0,Win,2015
0,41%,5,1,3,1,0,2,0,0,0,5,14,0,12,2,0,17,0,0,0,0,0,0,0,Swansea,0,2,Defeat,2015
0,59%,32,5,13,14,0,11,0,0,0,2,20,3,8,3,0,13,0,0,0,0,0,0,0,Leicester,3,2,Win,2015
0,46%,12,4,4,4,0,7,0,0,0,5,15,3,15,3,0,29,0,0,0,0,0,0,0,Newcastle,0,1,Defeat,2015
0,42%,17,4,7,6,0,7,0,0,0,4,10,3,9,4,0,27,0,0,0,0,0,0,0,Manchester City,2,2,Draw,2015
0,34%,7,1,2,4,0,2,0,0,0,6,10,0,12,0,0,16,0,0,0,0,0,0,0,Chelsea,1,2,Defeat,2015
0,35%,11,4,4,3,0,2,0,0,0,6,19,2,11,0,0,27,0,0,0,0,0,0,0,Aston Villa,2,0,Win,2015
