Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0.76,52%,12,5,3,4,1,3,7,5,0,6,5,2,10,1,0,15,15,85% (393/465),77% (105/137),25% (4/16),38% (8/21),23,4,Newcastle,1,3,Defeat,2025
0.88,55%,10,4,2,4,2,8,8,2,0,2,4,0,18,4,0,12,23,87% (412/473),81% (119/147),42% (10/24),90% (9/10),32,6,Nottingham,2,3,Defeat,2025
1.52,41%,13,5,3,5,1,4,7,6,0,6,7,0,10,3,0,11,18,80% (322/405),64% (79/124),25% (2/8),70% (16/23),29,7,Manchester Utd,1,3,Defeat,2025
0.29,50%,8,1,5,2,0,2,3,5,0,6,4,1,10,2,0,7,18,85% (395/463),84% (122/145),8% (1/12),53% (8/15),21,3,Brentford,0,5,Defeat,2025
1.30,53%,7,3,3,1,1,7,7,0,0,8,18,1,19,3,0,9,16,81% (350/434),66% (82/125),18% (4/22),50% (8/16),34,12,Crystal Palace,1,2,Defeat,2025
1.13,55%,18,5,9,4,4,2,16,2,0,1,8,0,15,1,0,17,31,84% (400/476),75% (106/141),39% (9/23),40% (6/15),13,11,West Ham,0,1,Defeat,2025
0.26,43%,5,1,1,3,0,5,3,2,0,5,8,2,15,3,0,14,14,80% (335/418),51% (35/69),31% (4/13),60% (12/20),35,14,Fulham,0,0,Draw,2025
0.68,41%,9,3,4,2,3,2,5,4,0,4,15,2,8,1,0,13,15,87% (370/426),64% (54/84),38% (5/13),67% (10/15),15,11,Tottenham,0,5,Defeat,2025
0.44,53%,4,0,0,4,0,1,4,0,0,4,18,4,15,3,0,14,22,90% (435/485),82% (102/124),15% (2/13),36% (5/14),17,8,Aston Villa,0,1,Defeat,2025
1.47,45%,6,4,0,2,4,5,6,0,0,8,14,3,7,1,1,12,20,89% (382/429),81% (61/75),13% (2/16),91% (10/11),25,4,Chelsea,1,5,Defeat,2025
1.02,48%,10,2,2,6,1,6,8,2,1,4,20,1,16,4,0,7,21,87% (361/414),68% (49/72),17% (4/24),59% (10/17),31,2,Brighton,1,1,Draw,2025
1.28,38%,7,5,2,0,3,3,5,2,0,8,9,0,11,3,0,13,18,84% (302/359),74% (39/53),38% (3/8),56% (9/16),34,4,Liverpool,2,3,Defeat,2025
0.60,71%,10,1,6,3,0,9,0,0,0,2,14,0,12,4,0,20,0,90% (606/673),0,0,0,0,5,Wolves,0,2,Defeat,2025
0.69,65%,9,2,5,2,0,3,0,0,0,5,18,3,14,4,0,8,0,91% (538/589),0,0,0,0,7,Everton,1,0,Win,2025
0.21,42%,5,2,2,1,0,1,0,0,0,7,9,2,9,3,0,11,0,90% (416/461),0,0,0,0,7,Manchester City,0,1,Defeat,2025
2.05,41%,14,7,5,2,0,10,0,0,0,1,10,1,10,5,1,16,0,81% (291/359),0,0,0,0,9,Leicester,2,3,Defeat,2025
0.85,41%,8,2,4,2,0,1,0,0,0,3,12,0,9,3,0,7,0,0% (0/395),0,0,0,0,0,Arsenal,1,3,Defeat,2025
0.98,60%,9,3,3,3,0,4,0,0,0,3,23,1,12,5,0,22,0,0% (0/568),0,0,0,0,0,Bournemouth,1,3,Defeat,2025
