Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,42%,8,5,2,1,0,0,0,0,0,10,11,5,9,2,0,0,0,0% (0/414),0,0,0,0,0,Swansea,2,1,Win,2018
0,41%,7,2,4,1,0,1,0,0,0,0,14,2,18,5,0,0,0,0% (0/281),0,0,0,0,0,Crystal Palace,1,2,Defeat,2018
0,28%,5,1,3,1,0,2,0,0,0,2,9,2,14,2,0,0,0,0% (0/253),0,0,0,0,0,Liverpool,0,0,Draw,2018
0,43%,8,3,4,1,0,3,0,0,0,6,5,2,15,2,0,0,0,0% (0/324),0,0,0,0,0,Burnley,1,1,Draw,2018
0,38%,11,7,1,3,0,1,0,0,0,5,20,3,21,3,0,0,0,0% (0/287),0,0,0,0,0,West Ham,1,1,Draw,2018
0,33%,10,4,5,1,0,6,0,0,0,2,11,2,19,4,0,0,0,0% (0/262),0,0,0,0,0,Tottenham,1,2,Defeat,2018
0,30%,8,2,4,2,0,5,0,0,0,8,12,3,13,2,0,0,0,0% (0/273),0,0,0,0,0,Arsenal,0,3,Defeat,2018
0,44%,9,4,2,3,0,1,0,0,0,7,16,0,13,1,1,0,0,0% (0/342),0,0,0,0,0,Everton,1,2,Defeat,2018
0,23%,3,0,1,2,0,3,0,0,0,4,12,2,6,1,0,0,0,0% (0/248),0,0,0,0,0,Manchester City,0,2,Defeat,2018
0,35%,12,3,9,0,0,4,0,0,0,6,10,2,13,1,0,0,0,0% (0/240),0,0,0,0,0,Southampton,0,0,Draw,2018
0,34%,6,2,2,2,0,1,0,0,0,8,10,2,16,3,0,0,0,0% (0/263),0,0,0,0,0,Leicester,1,1,Draw,2018
0,57%,15,3,6,6,0,7,0,0,0,5,12,2,6,0,0,0,0,0% (0/465),0,0,0,0,0,Brighton,1,1,Draw,2018
0,43%,13,4,6,3,0,1,0,0,0,6,16,6,19,3,0,0,0,0% (0/325),0,0,0,0,0,Bournemouth,1,2,Defeat,2018
0,47%,11,4,4,3,0,2,0,0,0,2,11,5,12,4,0,0,0,0% (0/262),0,0,0,0,0,Watford,0,0,Draw,2018
0,49%,11,6,4,1,0,3,0,0,0,3,13,10,18,1,0,0,0,0% (0/330),0,0,0,0,0,Huddersfield,2,0,Win,2018
0,40%,11,5,5,1,0,1,0,0,0,6,17,0,10,1,0,0,0,0% (0/395),0,0,0,0,0,Manchester Utd,0,3,Defeat,2018
0,59%,11,4,3,4,0,10,0,0,0,5,11,2,10,3,0,0,0,0% (0/461),0,0,0,0,0,Newcastle,0,1,Defeat,2018
0,41%,1,1,0,0,0,0,0,0,0,7,8,2,10,1,0,0,0,0% (0/473),0,0,0,0,0,Chelsea,0,5,Defeat,2018
0,41%,15,7,5,3,0,5,0,0,0,7,11,2,12,4,0,0,0,0% (0/365),0,0,0,0,0,Huddersfield,1,1,Draw,2018
0,43%,9,5,2,2,0,1,0,0,0,6,13,0,9,1,0,0,0,0% (0/354),0,0,0,0,0,West Brom,3,1,Win,2018
0,54%,17,0,8,9,0,7,0,0,0,4,14,0,12,2,0,0,0,0% (0/417),0,0,0,0,0,West Ham,0,3,Defeat,2018
0,49%,14,7,6,1,0,4,0,0,0,1,11,2,14,0,0,0,0,0% (0/377),0,0,0,0,0,Burnley,0,1,Defeat,2018
0,29%,4,3,1,0,0,6,0,0,0,6,19,2,9,0,0,0,0,0% (0/266),0,0,0,0,0,Tottenham,1,5,Defeat,2018
0,44%,10,3,6,1,0,2,0,0,0,2,11,3,12,2,0,0,0,0% (0/377),0,0,0,0,0,Swansea,2,1,Win,2018
0,39%,10,1,4,5,0,5,0,0,0,4,12,4,8,1,0,0,0,0% (0/341),0,0,0,0,0,Liverpool,0,3,Defeat,2018
0,46%,10,3,5,2,0,2,0,0,0,3,11,1,6,1,0,0,0,0% (0/424),0,0,0,0,0,Crystal Palace,1,2,Defeat,2018
0,46%,13,6,2,5,0,7,0,0,0,1,15,1,6,0,0,0,0,0% (0/396),0,0,0,0,0,Brighton,2,2,Draw,2018
0,47%,11,7,3,1,0,4,0,0,0,2,13,0,12,0,0,0,0,0% (0/380),0,0,0,0,0,Leicester,2,2,Draw,2018
0,30%,6,2,3,1,0,1,0,0,0,0,13,2,9,4,0,0,0,0% (0/249),0,0,0,0,0,Watford,1,0,Win,2018
0,52%,11,3,6,2,0,8,0,0,0,1,11,4,17,0,0,0,0,0% (0/407),0,0,0,0,0,Bournemouth,1,2,Defeat,2018
0,39%,14,3,6,5,0,10,0,0,0,6,15,2,10,4,0,0,0,0% (0/315),0,0,0,0,0,Southampton,1,0,Win,2017
