Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,29%,7,3,2,2,0,1,0,0,0,3,8,1,15,1,0,0,0,0% (0/255),0,0,0,0,0,Chelsea,1,5,Defeat,2017
0,37%,6,2,2,2,0,3,0,0,0,11,17,3,10,2,0,0,0,0% (0/332),0,0,0,0,0,Arsenal,0,2,Defeat,2017
0,53%,13,4,6,3,0,8,0,0,0,1,7,2,13,4,0,24,0,0% (0/441),0,0,0,0,0,Swansea,0,2,Defeat,2017
0,40%,12,5,6,1,0,4,0,0,0,6,10,4,8,1,0,0,0,0% (0/317),0,0,0,0,0,Hull,2,0,Win,2017
0,41%,17,5,9,3,0,6,0,0,0,6,10,4,13,3,0,0,0,0% (0/336),0,0,0,0,0,Bournemouth,0,1,Defeat,2017
0,51%,10,4,4,2,0,5,0,0,0,1,16,6,11,3,0,0,0,0% (0/413),0,0,0,0,0,Middlesbrough,0,1,Defeat,2017
0,47%,14,4,6,4,0,7,0,0,0,1,10,2,14,1,0,0,0,0% (0/355),0,0,0,0,0,West Ham,2,2,Draw,2017
0,30%,9,4,3,2,0,4,0,0,0,6,22,2,14,1,1,0,0,0% (0/233),0,0,0,0,0,Manchester Utd,0,3,Defeat,2017
0,45%,15,3,8,4,0,6,0,0,0,6,13,3,13,1,0,0,0,0% (0/329),0,0,0,0,0,Leicester,0,2,Defeat,2017
0,44%,11,3,2,6,0,9,0,0,0,9,13,0,8,3,0,0,0,0% (0/302),0,0,0,0,0,Watford,0,1,Defeat,2017
0,42%,14,5,7,2,0,3,0,0,0,3,8,0,14,3,0,0,0,0% (0/287),0,0,0,0,0,Burnley,0,0,Draw,2017
0,29%,11,3,5,3,0,6,0,0,0,5,7,4,11,1,0,0,0,0% (0/287),0,0,0,0,0,Manchester City,0,2,Defeat,2017
0,37%,10,1,3,6,0,6,0,0,0,6,11,0,16,2,0,0,0,0,0,0,0,0,0,Everton,0,2,Defeat,2017
0,46%,6,1,1,4,0,6,0,0,0,4,17,1,12,1,0,0,0,0% (0/443),0,0,0,0,0,Southampton,0,4,Defeat,2017
0,35%,10,7,3,0,0,1,0,0,0,9,10,1,8,3,0,0,0,0% (0/279),0,0,0,0,0,Crystal Palace,4,0,Win,2017
0,28%,3,1,0,2,0,2,0,0,0,3,16,2,9,2,0,0,0,0% (0/223),0,0,0,0,0,Tottenham,0,0,Draw,2017
0,56%,9,3,2,4,0,4,0,0,0,3,18,1,12,1,0,0,0,0% (0/447),0,0,0,0,0,West Brom,0,2,Defeat,2017
0,51%,14,3,5,6,0,5,0,0,0,3,11,5,16,3,0,0,0,0% (0/429),0,0,0,0,0,Stoke,1,3,Defeat,2017
0,29%,10,5,0,5,0,2,0,0,0,13,11,3,10,2,0,0,0,0% (0/291),0,0,0,0,0,Liverpool,2,2,Draw,2017
0,54%,11,3,5,3,0,2,0,0,0,2,13,3,8,1,0,0,0,0% (0/418),0,0,0,0,0,Burnley,1,4,Defeat,2017
0,38%,7,4,2,1,0,5,0,0,0,6,10,2,9,2,0,0,0,0% (0/360),0,0,0,0,0,Manchester Utd,1,3,Defeat,2017
0,42%,12,4,3,5,0,4,0,0,0,4,11,2,10,1,0,0,0,0% (0/272),0,0,0,0,0,Watford,1,0,Win,2017
0,34%,8,3,4,1,0,5,0,0,0,5,13,1,15,3,0,0,0,0% (0/316),0,0,0,0,0,Chelsea,0,1,Defeat,2017
0,38%,11,2,4,5,0,4,0,0,0,2,11,2,8,2,0,0,0,0% (0/303),0,0,0,0,0,Swansea,0,3,Defeat,2017
0,53%,22,6,9,7,0,3,0,0,0,4,13,1,8,3,0,0,0,0,0,0,0,0,0,Leicester,2,1,Win,2017
0,22%,6,1,1,4,0,4,0,0,0,5,5,1,9,3,0,0,0,0,0,0,0,0,0,Liverpool,0,2,Defeat,2017
0,42%,11,4,3,4,0,2,0,0,0,7,5,1,9,3,1,0,0,0,0,0,0,0,0,Hull,3,0,Win,2017
