Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,58%,24,11,4,9,0,6,0,0,0,3,16,1,12,1,0,0,0,0% (0/544),0,0,0,0,0,Stoke,1,2,Defeat,2018
0,53%,11,3,5,3,0,7,0,0,0,7,15,2,7,2,0,0,0,0% (0/417),0,0,0,0,0,Southampton,0,1,Defeat,2018
0,55%,12,3,6,3,0,6,0,0,0,4,14,1,10,4,0,0,0,0% (0/445),0,0,0,0,0,Bournemouth,0,1,Defeat,2018
0,51%,10,3,5,2,0,1,0,0,0,2,13,1,13,1,0,0,0,0% (0/581),0,0,0,0,0,Chelsea,0,1,Defeat,2018
0,17%,4,1,2,1,0,1,0,0,0,7,10,1,8,1,0,0,0,0% (0/203),0,0,0,0,0,Manchester City,0,5,Defeat,2018
0,51%,17,7,5,5,0,6,0,0,0,2,11,1,10,1,0,0,0,0% (0/449),0,0,0,0,0,Everton,1,1,Draw,2018
0,48%,7,1,5,1,0,1,0,0,0,2,21,1,5,2,0,0,0,0% (0/454),0,0,0,0,0,West Brom,1,1,Draw,2018
0,33%,3,2,0,1,0,3,0,0,0,3,10,1,13,0,0,0,0,0% (0/364),0,0,0,0,0,Manchester Utd,0,2,Defeat,2018
0,19%,0,0,0,0,0,0,0,0,0,4,11,3,9,3,1,0,0,0% (0/174),0,0,0,0,0,Huddersfield,0,0,Draw,2018
0,45%,9,8,1,0,0,4,0,0,0,1,19,0,9,0,0,0,0,0% (0/435),0,0,0,0,0,West Ham,4,1,Win,2018
0,52%,11,1,6,4,0,5,0,0,0,1,21,0,6,0,0,0,0,0% (0/434),0,0,0,0,0,Brighton,1,4,Defeat,2018
