Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.10,60%,15,6,5,4,2,6,8,7,2,1,16,5,6,1,0,26,22,84% (439/523),77% (108/140),20% (7/35),44% (4/9),17,8,Leicester,1,2,Defeat,2025
1.11,64%,11,6,2,3,2,8,7,4,0,4,14,1,14,1,0,25,23,86% (518/601),76% (137/180),11% (2/18),74% (14/19),20,4,Everton,2,3,Defeat,2025
0.83,47%,10,2,4,4,1,4,8,2,1,3,16,1,9,1,0,19,20,84% (315/373),73% (62/85),24% (4/17),58% (11/19),30,5,Arsenal,1,2,Defeat,2025
0.85,57%,13,4,6,3,1,9,9,4,1,2,15,2,11,1,0,14,26,81% (375/463),75% (123/165),16% (4/25),77% (20/26),18,8,Newcastle,1,2,Defeat,2025
2.25,48%,13,3,7,3,5,5,10,3,1,1,10,3,9,1,0,21,31,77% (320/415),69% (76/110),29% (5/17),72% (13/18),19,5,Wolves,2,2,Draw,2025
1.28,71%,13,4,4,5,1,7,7,6,0,2,12,1,13,0,0,18,31,88% (532/606),80% (164/206),11% (2/19),30% (3/10),4,5,Nottingham,0,1,Defeat,2025
1.25,52%,9,5,3,1,2,7,6,3,0,6,9,4,7,1,0,18,26,85% (446/525),68% (78/115),19% (3/16),63% (12/19),21,8,Liverpool,3,6,Defeat,2025
2.62,59%,18,9,5,4,6,5,15,3,1,3,8,0,15,3,0,11,28,91% (542/598),79% (101/128),15% (2/13),57% (8/14),9,15,Southampton,5,0,Win,2025
2.64,38%,13,5,5,3,6,5,11,2,1,4,11,3,17,2,0,16,26,83% (257/310),69% (53/77),36% (5/14),74% (14/19),20,4,Chelsea,3,4,Defeat,2025
0.58,66%,12,4,5,3,0,9,7,5,0,7,15,3,8,2,0,31,25,82% (387/472),74% (128/173),14% (3/21),65% (15/23),15,8,Bournemouth,0,1,Defeat,2025
0.65,50%,8,3,3,2,2,7,4,4,1,5,14,1,4,0,0,19,16,86% (416/481),75% (114/151),13% (2/16),56% (9/16),23,9,Fulham,1,1,Draw,2025
2.51,42%,9,7,2,0,5,3,7,2,1,5,19,3,9,2,0,9,17,83% (342/410),73% (56/77),30% (3/10),83% (10/12),26,5,Manchester City,4,0,Win,2025
1.82,66%,17,5,9,3,0,12,0,0,0,1,19,0,10,1,0,22,0,84% (462/550),0,0,0,0,13,Ipswich,1,2,Defeat,2025
2.63,51%,16,6,8,2,0,6,0,0,0,0,14,0,14,2,0,12,0,88% (349/397),0,0,0,0,14,Aston Villa,4,1,Win,2025
0.72,66%,11,3,4,4,0,8,0,0,0,5,16,1,12,4,0,18,0,81% (414/512),0,0,0,0,7,Crystal Palace,0,1,Defeat,2025
1.40,57%,22,7,9,6,0,13,0,0,0,3,15,2,10,1,0,18,0,86% (412/477),0,0,0,0,5,West Ham,4,1,Win,2025
1.43,59%,13,3,7,3,0,7,0,0,0,1,16,2,10,2,0,20,0,0% (0/526),0,0,0,0,0,Brighton,2,3,Defeat,2025
3.89,61%,24,11,7,6,0,3,0,0,0,2,13,1,14,3,0,18,0,0% (0/636),0,0,0,0,0,Manchester Utd,3,0,Win,2025
3.91,48%,23,10,3,10,0,9,0,0,0,5,10,1,11,3,0,18,0,0% (0/434),0,0,0,0,0,Brentford,3,1,Win,2025
0.84,64%,15,5,6,4,0,7,0,0,0,3,11,2,13,5,0,26,0,0% (0/494),0,0,0,0,0,Arsenal,0,1,Defeat,2025
1.77,66%,20,6,6,8,0,12,0,0,0,1,17,4,13,4,0,23,0,0% (0/500),0,0,0,0,0,Newcastle,1,2,Defeat,2025
2.58,71%,13,7,4,2,0,12,0,0,0,1,17,0,11,0,0,21,0,0% (0/609),0,0,0,0,0,Everton,4,0,Win,2025
0.98,71%,15,7,2,6,0,13,0,0,0,2,12,1,12,1,0,20,0,0% (0/666),0,0,0,0,0,Leicester,1,1,Draw,2025
3.40,77%,18,9,9,0,0,6,0,0,0,1,17,0,9,0,0,23,0,0% (0/695),0,0,0,0,0,Sheffield Utd,3,0,Win,2024
