Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,28%,8,3,2,3,0,3,0,0,0,6,8,2,9,0,0,11,0,72% (202/281),0,0,0,0,0,Chelsea,1,2,Defeat,2022
0,40%,13,5,8,0,0,7,0,0,0,2,7,3,4,0,0,21,0,77% (272/351),0,0,0,0,0,Leicester,1,5,Defeat,2022
0,48%,6,0,5,1,0,1,0,0,0,5,9,1,5,1,0,12,0,82% (385/470),0,0,0,0,0,Everton,0,0,Draw,2022
0,32%,6,1,2,3,0,5,0,0,0,6,12,0,18,3,1,16,0,69% (170/248),0,0,0,0,0,Crystal Palace,0,1,Defeat,2022
0,47%,13,1,9,3,0,5,0,0,0,4,6,1,13,1,0,29,0,64% (213/334),0,0,0,0,0,Burnley,1,2,Defeat,2022
0,26%,5,2,2,1,0,4,0,0,0,3,8,2,7,0,0,12,0,72% (178/247),0,0,0,0,0,Manchester City,1,5,Defeat,2022
0,51%,17,4,8,5,0,6,0,0,0,3,9,1,11,2,0,24,0,75% (298/396),0,0,0,0,0,Brentford,1,2,Defeat,2022
0,48%,8,1,7,0,0,3,0,0,0,2,9,3,8,2,0,40,0,66% (250/380),0,0,0,0,0,Leeds,0,3,Defeat,2022
0,27%,5,2,2,1,0,3,0,0,0,1,9,3,8,1,0,16,0,62% (163/263),0,0,0,0,0,Liverpool,0,2,Defeat,2022
0,37%,9,5,3,1,0,3,0,0,0,6,8,0,12,2,0,15,0,66% (203/306),0,0,0,0,0,Southampton,2,1,Win,2022
0,34%,9,0,5,4,0,2,0,0,0,2,9,4,10,2,0,14,0,77% (263/343),0,0,0,0,0,Wolves,0,4,Defeat,2022
