Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
0,36%,14,5,6,3,0,3,0,0,0,6,16,3,12,1,0,15,0,0% (0/268),0,0,0,0,0,Leeds,1,3,Defeat,2021
0,52%,14,4,5,5,0,6,0,0,0,6,12,2,8,2,0,20,0,0% (0/357),0,0,0,0,0,West Ham,1,3,Defeat,2021
0,24%,10,3,6,1,0,9,0,0,0,4,16,2,7,0,0,10,0,0% (0/201),0,0,0,0,0,Liverpool,1,2,Defeat,2021
0,34%,12,1,7,4,0,6,0,0,0,4,8,2,9,2,0,21,0,0% (0/288),0,0,0,0,0,Arsenal,1,3,Defeat,2021
0,42%,10,4,5,1,0,5,0,0,0,9,13,1,17,2,0,21,0,0% (0/339),0,0,0,0,0,Wolves,1,1,Draw,2021
0,30%,10,4,5,1,0,4,0,0,0,9,15,1,9,2,0,12,0,0% (0/240),0,0,0,0,0,Aston Villa,2,2,Draw,2021
0,27%,4,1,3,0,0,3,0,0,0,4,14,0,12,2,0,24,0,0% (0/255),0,0,0,0,0,Leicester,0,3,Defeat,2021
0,40%,15,6,6,3,0,5,0,0,0,4,11,4,12,0,0,16,0,0% (0/285),0,0,0,0,0,Southampton,3,0,Win,2021
0,34%,14,7,4,3,0,3,0,0,0,6,12,4,6,1,0,27,0,0% (0/297),0,0,0,0,0,Chelsea,5,2,Win,2021
0,56%,12,1,6,5,0,2,0,0,0,3,18,1,15,1,0,0,0,0% (0/397),0,0,0,0,0,Crystal Palace,0,1,Defeat,2021
0,53%,13,3,6,4,0,9,0,0,0,5,11,1,11,0,0,0,0,0% (0/396),0,0,0,0,0,Newcastle,0,0,Draw,2021
0,48%,11,3,3,5,0,3,0,0,0,2,9,3,9,3,0,0,0,0% (0/450),0,0,0,0,0,Everton,0,1,Defeat,2021
0,30%,6,2,3,1,0,7,0,0,0,6,15,1,11,0,0,0,0,0% (0/230),0,0,0,0,0,Brighton,1,0,Win,2021
0,38%,10,3,6,1,0,5,0,0,0,1,21,3,10,0,1,0,0,0% (0/267),0,0,0,0,0,Burnley,0,0,Draw,2021
0,27%,7,3,4,0,0,4,0,0,0,6,14,2,13,5,0,0,0,0% (0/253),0,0,0,0,0,Manchester Utd,1,1,Draw,2021
0,34%,4,1,3,0,0,0,0,0,0,4,18,4,12,2,0,0,0,0% (0/303),0,0,0,0,0,Tottenham,0,2,Defeat,2021
0,32%,8,4,2,2,0,2,0,0,0,4,11,3,9,1,0,0,0,0% (0/268),0,0,0,0,0,Sheffield Utd,1,2,Defeat,2021
0,37%,5,3,2,0,0,2,0,0,0,5,10,1,9,1,0,0,0,0% (0/336),0,0,0,0,0,Fulham,2,2,Draw,2021
0,22%,4,1,2,1,0,3,0,0,0,2,9,0,8,2,0,0,0,0% (0/247),0,0,0,0,0,Manchester City,0,5,Defeat,2021
0,41%,6,2,4,0,0,1,0,0,0,4,12,0,10,1,0,0,0,0% (0/375),0,0,0,0,0,West Ham,1,2,Defeat,2021
0,32%,12,5,5,2,0,0,0,0,0,4,9,2,14,1,0,0,0,0% (0/270),0,0,0,0,0,Wolves,3,2,Win,2021
0,38%,7,3,3,1,0,3,0,0,0,8,6,3,7,1,0,0,0,0% (0/374),0,0,0,0,0,Arsenal,0,4,Defeat,2021
