Expected Goals (xG),Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Big Chances,Corner Kicks,Shots inside the Box,Shots outside the Box,Hit the Woodwork,Goalkeeper Saves,Free Kicks,Offsides,Fouls,Yellow Cards,Red Cards,Throw-ins,Touches in the Opposition Box,Passes,Passes in the final third,Crosses,Tackles,Clearances Total,Interceptions,Opponent,Goals scored,Goals lost,Result,Season
1.39,55%,14,4,6,4,3,3,9,5,0,3,13,4,16,3,0,16,39,85% (372/440),73% (81/111),41% (9/22),61% (19/31),24,13,Aston Villa,1,1,Draw,2025
0.30,53%,7,0,4,3,0,2,4,3,0,5,10,1,13,3,1,10,14,82% (443/538),68% (75/110),21% (3/14),50% (5/10),24,12,Crystal Palace,0,2,Defeat,2025
1.12,44%,4,3,1,0,2,0,3,1,0,3,18,5,9,3,0,8,6,83% (343/415),51% (31/61),0% (0/5),57% (8/14),28,7,Fulham,3,2,Win,2025
1.19,44%,17,4,10,3,3,1,14,3,0,3,8,2,13,1,0,16,23,86% (368/429),75% (69/92),58% (7/12),69% (9/13),17,6,Manchester City,1,4,Defeat,2025
0.32,45%,7,0,4,3,1,2,5,2,2,8,10,4,7,0,0,10,18,85% (382/448),70% (71/101),22% (2/9),76% (13/17),23,10,Liverpool,0,5,Defeat,2025
1.45,45%,16,2,8,6,2,2,11,5,1,5,15,0,8,2,0,13,24,79% (315/398),62% (57/92),30% (3/10),84% (16/19),23,5,Southampton,1,0,Win,2025
1.60,46%,11,4,3,4,2,8,8,3,0,5,20,5,14,2,0,21,27,75% (274/365),45% (34/75),21% (3/14),58% (15/26),30,6,Brighton,1,1,Draw,2025
2.18,49%,16,3,6,7,1,6,13,3,1,8,6,1,11,2,0,12,21,73% (303/415),53% (62/116),35% (8/23),45% (5/11),30,8,Bournemouth,1,1,Draw,2025
1.01,54%,19,4,6,9,1,11,15,4,0,4,17,4,12,5,0,16,39,80% (338/420),71% (90/126),41% (9/22),54% (7/13),19,7,Wolves,2,1,Win,2025
3.09,61%,31,10,10,11,3,9,24,7,1,3,9,2,7,2,0,27,55,86% (501/584),80% (180/225),37% (10/27),57% (8/14),10,5,Leicester,1,3,Defeat,2025
1.46,39%,12,5,3,4,2,2,8,4,1,2,13,1,10,4,0,11,17,78% (244/313),68% (52/76),11% (1/9),73% (16/22),19,8,Arsenal,2,5,Defeat,2025
0.91,48%,15,6,3,6,0,3,7,8,0,2,11,0,8,0,0,16,17,82% (390/474),71% (70/99),17% (2/12),74% (20/27),32,11,Newcastle,2,0,Win,2025
1.00,49%,11,6,1,4,0,7,0,0,0,4,9,1,10,1,0,23,0,78% (349/447),0,0,0,0,6,Everton,0,0,Draw,2025
0.16,47%,4,2,2,0,0,5,0,0,0,3,7,1,9,4,1,13,0,79% (309/392),0,0,0,0,9,Nottingham,0,3,Defeat,2025
2.98,43%,12,3,8,1,0,6,0,0,0,4,7,3,6,5,0,14,0,81% (312/386),0,0,0,0,13,Manchester Utd,2,1,Win,2025
0.92,43%,11,4,4,3,0,5,0,0,0,3,10,1,15,3,1,17,0,79% (288/366),0,0,0,0,9,Tottenham,1,4,Defeat,2025
3.18,53%,23,13,6,4,0,5,0,0,0,1,7,3,12,0,0,14,0,0% (0/496),0,0,0,0,0,Ipswich,4,1,Win,2025
0.97,43%,19,3,11,5,0,6,0,0,0,2,2,2,11,3,0,19,0,0% (0/399),0,0,0,0,0,Brentford,1,1,Draw,2025
